,mun_name,mun_employed,male_employed,fem_employed,mun_1sector,male_1sector,fem_1sector,mun_2sector,male_2sector,fem_2sector,mun_3sector,male_3sector,fem_3sector,can_name,1,2,3,4,5,6,7,8,9,10,11,12
0,1701 SAAR,7624,4906,2718,229,198,31,3685,2752,933,3710,1956,1754,BAAR,36983,23716,13267,1652,1416,236,15473,12046,3427,19858,10254,9604
1,1702 CHAM,4582,3001,1581,169,149,20,2080,1684,396,2333,1168,1165,BAAR,36983,23716,13267,1652,1416,236,15473,12046,3427,19858,10254,9604
2,1703 HUENENBERG,1825,1296,529,179,162,17,656,542,114,990,592,398,BAAR,36983,23716,13267,1652,1416,236,15473,12046,3427,19858,10254,9604
3,1704 MENZINGEN,1673,943,730,232,190,42,401,344,57,1040,409,631,BAAR,36983,23716,13267,1652,1416,236,15473,12046,3427,19858,10254,9604
4,1705 NEUHEIM,496,330,166,79,60,19,184,143,41,233,127,106,BAAR,36983,23716,13267,1652,1416,236,15473,12046,3427,19858,10254,9604
5,1706 OBERAEGERI,1553,1019,534,179,159,20,534,448,86,840,412,428,BAAR,36983,23716,13267,1652,1416,236,15473,12046,3427,19858,10254,9604
6,1707 RISCH,2013,1360,653,179,153,26,918,711,207,916,496,420,BAAR,36983,23716,13267,1652,1416,236,15473,12046,3427,19858,10254,9604
7,1708 STEINHAUSEN,3042,2017,1025,55,45,10,1388,1098,290,1599,874,725,BAAR,36983,23716,13267,1652,1416,236,15473,12046,3427,19858,10254,9604
8,1709 UNTERAEGERI,2526,1624,902,138,105,33,1072,863,209,1316,656,660,BAAR,36983,23716,13267,1652,1416,236,15473,12046,3427,19858,10254,9604
9,1710 WALCHWIL,997,705,292,72,69,3,356,310,46,569,326,243,BAAR,36983,23716,13267,1652,1416,236,15473,12046,3427,19858,10254,9604
10,1711 ZUG,10652,6515,4137,141,126,15,4199,3151,1048,6312,3238,3074,BAAR,36983,23716,13267,1652,1416,236,15473,12046,3427,19858,10254,9604
