,mun_name,mun_employed,male_employed,fem_employed,mun_1sector,male_1sector,fem_1sector,mun_2sector,male_2sector,fem_2sector,mun_3sector,male_3sector,fem_3sector,can_name,1,2,3,4,5,6,7,8,9,10,11,12,13
0,ARLESHEIM,65890,42621,23269,976,778,198,26280,20671,5609,38229.0,20931,1729,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
1,2801 AESCH (BL),3825,2537,1288,57,49,8,1969,1514,455,1785.0,965,82,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
2,2802 ALLSCHWIL,9146,5729,3417,103,84,19,3558,2749,809,5405.0,2849,2556,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
3,2803 ARLESHEIM,3711,2295,1416,50,36,14,1423,1127,296,2217.0,1120,109,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
4,2805 BIEL-BENKEN,852,585,267,50,38,12,310,249,61,489.0,295,19,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
5,2806 BINNINGEN,7116,4472,2644,82,69,13,2473,1991,482,4499.0,2380,211,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
6,2807 BIRSFELDEN,6473,4109,2364,35,30,5,2580,1940,640,3827.0,2116,1711,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
7,2808 BOTTMINGEN,2318,1457,861,46,36,10,769,626,143,1489.0,788,70,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
8,2809 ETTINGEN,1889,1304,585,54,41,13,811,665,146,1015.0,593,42,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
9,2810 MUENCHENSTEIN,5536,3590,1946,60,48,12,2299,1793,506,3141.0,1729,141,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
10,2811 MUTTENZ,8201,5421,2780,113,85,28,3425,2712,713,4629.0,2604,2025,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
11,2812 OBERWIL (BL),3533,2368,1165,111,90,21,1264,1048,216,2137.0,1215,92,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
12,2813 PFEFFINGEN,549,392,157,22,20,2,221,198,23,300.0,171,12,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
13,2814 REINACH (BL),8862,5821,3041,93,79,14,3645,2837,808,5072.0,2869,2203,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
14,2815 SCHOENENBUCH,354,237,117,38,25,13,121,98,23,194.0,114,80,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
15,2816 THERWIL,3525,2304,1221,62,48,14,1412,1124,288,2030.0,1123,907,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
