,mun_name,mun_employed,male_employed,fem_employed,mun_1sector,male_1sector,fem_1sector,mun_2sector,male_2sector,fem_2sector,mun_3sector,male_3sector,fem_3sector,can_name,1,2,3,4,5,6,7,8,9,10,11,12
0,AARBERG,12675,8455,4220,1697,1185,512,5202,4160,1042,5724,3080,2644,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
1,301 AARBERG,1495,955,540,80,57,23,666,550,116,734,340,394,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
2,302 BARGEN (BE),370,248,122,83,58,25,150,124,26,135,66,69,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
3,303 GROSSAFFOLTERN,1034,718,316,176,128,48,398,320,78,458,269,189,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
4,304 KALLNACH,526,372,154,143,94,49,191,172,19,191,106,85,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
5,305 KAPPELEN,443,292,151,103,69,34,171,131,40,169,92,77,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
6,306 LYSS,4420,2869,1551,133,93,40,2193,1639,554,2073,1122,951,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
7,307 MEIKIRCH,913,632,281,116,91,25,266,228,38,527,311,216,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
8,308 NIEDERRIED B.KALLN.,95,68,27,34,24,1D,32,29,3,29,15,14,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
9,309 RADELFINGEN,475,314,161,157,104,53,145,128,17,172,81,91,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
10,310 RAPPERSWIL (BE),836,572,264,236,163,73,272,227,45,326,181,145,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
11,311 SCHUEPFEN,1042,711,331,194,136,58,385,320,65,460,253,207,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
12,312 SEEDORF (BE),1026,704,322,242,168,74,333,292,4).,450,244,206,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
13,AARWANGEN,18022,11744,6278,2014,1360,654,8740,6533,2207,7206,3817,3389,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
14,321 AARWANGEN,1586,1038,548,88,61,27,865,624,241,622,350,272,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
15,322 AUSWIL,195,138,57,85,64,21,55,44,11,55,30,25,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
16,323 BANNWIL,266,191,75,50,38,12,138,113,25,78,40,38,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
17,324 BLEIENBACH,300,207,93,57,44,13,132,106,26,110,56,54,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
18,325 BUSSWIL BEI MELCHNAU,91,60,31,42,27,15,29,24,5,20,9,11,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
19,326 GONDISWIL,363,258,105,153,107,46,125,105,20,85,46,39,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
20,327 GUTENBURG,43,28,15,8,6,2,18,13,5,17,9,8,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
21,328 KLEINDIETWIL,197,139,58,36,25,11,97,78,19,64,36,28,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
22,329 LANGENTHAL,6570,4094,2476,96,77,19,3110,2292,818,3335,1707,1628,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
23,330 LEIMISWIL,227,146,81,125,77,48,58,46,12,44,23,21,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
24,331 LOTZWIL,1032,678,354,63,44,19,582,418,164,382,212,170,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
25,332 MADISWIL,858,574,284,195,127,68,402,303,99,261,144,117,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
26,333 MELCHNAU,695,434,261,128,77,51,359,260,99,207,97,110,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
27,334 OBERSTECKHOLZ,175,120,55,48,33,15,72,59,13,54,28,26,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
28,335 DESCHENBACH,151,106,45,83,58,25,35,32,3,32,16,16,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
29,336 REISISWIL,85,63,22,25,20,5,31,29,2,'29,14,15,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
30,337 ROGGWIL (BE),1481,984,497,60,45,15,896,660,236,523,278,245,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
31,338 ROHRBACH,595,396,199,81,48,33,324,247,77,189,100,89,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
32,339 ROHRBACHGRABEN,203,131,72,124,76,48,50,43,7,29,12,17,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
33,340 RUETSCHELEN,240,161,79,63,34,29,92,75,17,83,50,33,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
34,341 SCHWARZHAEUSERN,215,149,66,36,' 26,10,98,75,23,81,48,33,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
