,mun_name,mun_employed,male_employed,fem_employed,mun_1sector,male_1sector,fem_1sector,mun_2sector,male_2sector,fem_2sector,mun_3sector,male_3sector,fem_3sector,can_name,can_employed,can_male_employed,can_fem_employed,can_mun_1sector,can_male_1sector,can_fem_1sector,can_mun_2sector,can_male_2sector,can_fem_2sector,can_mun_3sector,can_male_3sector,can_fem_3sector,district
1,2001 AUMONT,140,109,31,29,28,1,64,53,11,47,28,19,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
2,2002 AUTAVAUX,53,39,14,15,14,1,19,14,5,19,11,8,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
3,2003 BOLLION,26,21,5,6,6,-,11,9,2,9,6,3,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
4,2004 BUSSY (FR),96,66,30,25,21,4,24,20,4,47,25,22,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
5,2005 CHABLES,155,85,70,35,27,8,45,34,11,75,24,51,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
6,2006 CHARDON,39,27,12,15,13,2,15,11,4,9,3,6,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
7,2007 CHAPELLE (BROYE),36,27,9,23,18,5,6,5,1,7,4,3,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
8,2008 CHATILLON (FR),64,43,21,18,12,6,28,22,6,18,9,9,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
9,2009 CHEIRY,89,69,20,31,24,7,31,28,3,27,17,10,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
10,2010 CHEYRES,175,120,55,34,28,6,59,52,7,81,39,42,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
11,2011 CUGY (FR),322,222,100,76,55,21,110,83,27,136,84,52,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
12,2012 DELLEY,137,95,42,34,31,3,43,34,9,59,30,29,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
13,2013 DOMDIDIER,669,462,207,83,70,13,301,234,67,283,158,125,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
14,2014 DOMPIERRE (FR),245,161,84,71,53,18,88,64,24,86,44,42,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
15,2015 ESTAVAYER-LE-LAC,1687,1029,658,53,45,8,790,565,225,840,417,423,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
16,2016 FETIGNY,202,135,67,35,24,11,66,52,14,101,59,42,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
17,2017 FONT,93,68,25,13,11,2,40,32,8,39,24,15,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
18,2018 FOREL (FR),96,68,28,49,36,13,31,23,8,16,9,7,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
19,2019 FRANEX,27,19,8,12,8,4,7,6,1,8,5,3,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
20,2020 FRASSES,55,46,9,21,19,2,20,17,3,13,9,4,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
21,2021 LES FRIQUES,25,16,9,14,8,6,4,3,1,7,5,2,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
22,2022 GLETTERENS,88,63,25,27,20,7,27,21,6,32,21,11,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
23,2023 GRANGES-DE-VESIN,44,28,16,18,12,6,19,13,6,7,3,4,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
24,2024 LECHELLES,123,93,30,29,26,3,30,24,6,63,43,20,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
25,2025 LULLY (FR),92,71,21,14,14,-,43,34,9,35,23,12,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
26,2026 MANNENS-GRANDSIVAZ,158,108,50,41,39,2,43,33,10,73,35,38,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
27,2027 MENIERES,95,71,24,37,28,9,27,25,2,31,18,13,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
28,2028 MONTAGNY-LA-VILLE,159,114,45,26,24,2,56,45,11,77,45,32,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
29,2029 MONTAGNY-LES-MONTS,314,223,91,41,39,2,145,92,53,126,91,35,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
30,2030 MONTBORGET,40,28,12,23,17,6,10,8,2,6,2,4,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
31,2031 MONTBRELLOZ,88,67,21,22,20,2,29,23,6,37,24,13,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
32,2032 MONTET (BROYE),144,92,52,22,16,6,58,41,17,63,34,29,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
33,2033 MORENS (FR),44,36,8,18,17,1,12,12,-,14,7,7,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
34,2034 MURIST,84,56,28,36,23,13,24,21,3,24,12,12,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
35,2035 NUVILLY,108,77,31,26,21,5,38,31,7,44,25,19,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
36,2036 PORTALBAN,73,56,17,8,8,-,38,34,4,26,13,13,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
37,2037 PRARATOUD,34,20,14,15,10,5,8,5,3,11,5,6,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
38,2038 PREVONDAVAUX,24,15,9,10,7,3,8,6,2,6,2,4,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
39,2039 RUEYRES-LES-PRES,84,66,18,26,22,4,19,14,5,38,30,8,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
40,2040 RUSSY,89,59,30,57,39,18,14,8,6,18,12,6,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
41,2041 SAINT-AUBIN (FR),337,237,100,61,44,17,110,89,21,166,104,62,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
42,2042 SEIRY,41,30,11,12,11,1,14,10,4,14,8,6,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
43,2043 SEVAZ,39,26,13,18,14,4,9,4,5,11,7,4,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
44,2044 SURPIERRE,86,72,14,18,16,2,49,44,5,19,12,7,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
45,2045 VALLON,82,68,14,27,26,1,19,17,2,36,25,11,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
46,2046 VESIN,78,55,23,20,17,3,20,17,3,38,21,17,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
47,2047 VILLENEUVE (FR),95,70,25,16,11,5,53,45,8,26,14,12,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
48,2048 LA VOUNAISE,41,31,10,25,19,6,11,9,2,5,3,2,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
49,2049 VUISSENS,66,44,22,36,25,11,15,12,3,15,7,8,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
51,2061 AUBORANGES,52,31,21,19,14,5,17,11,6,16,6,10,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
52,2062 BERLENS,55,42,13,22,19,3,17,14,3,16,9,7,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
53,2063 BILLENS,180,104,76,31,27,4,45,41,4,104,36,68,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
54,2064 BIONNENS,22,15,7,11,9,2,3,2,1,8,4,4,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
55,2065 BLESSENS,38,30,8,17,17,-,8,8,-,13,5,8,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
56,2066 CHAPELLE (GLANE),63,46,17,15,13,2,17,16,1,31,17,14,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
57,2067 LE CHATELARD,137,115,22,71,68,3,34,31,3,32,16,16,FRIBOURG,82464,55726,26738,10755,9043,1712,31768,24829,6939,39445,21537,17908,1
