,mun_name,mun_employed,male_employed,fem_employed,mun_1sector,male_1sector,fem_1sector,mun_2sector,male_2sector,fem_2sector,mun_3sector,male_3sector,fem_3sector,can_name,1,2,3,4,5,6,7,8,9,10,11,12
0,1601 BETSCHWANDEN,67,42,25,10,6,4,36,26,10,21,10,11,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
1,1602 BILTEN,803,562,241,65,48,17,540,400,140,196,112,84,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
2,1603 BRAUNWALD,299,154,145,37,24,13,39,30,9,223,100,123,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
3,1604 DIESBACH (GL),152,97,55,16,11,5,99,69,30,36,16,20,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
4,1605 ELM,419,275,144,164,117,47,112,96,16,142,62,80,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
5,1606 ERGI,342,205,137,53,32,21,181,115,66,108,58,50,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
6,1607 ENNENDA,1170,722,448,96,66,30,636,446,190,436,210,226,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
7,1608 FILZBACH,277,214,63,39,30,9,151,138,13,86,45,41,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
8,1609 GLARUS,2967,1711,1256,100,69,31,1194,878,316,1665,761,904,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
9,1610 HASLEN,231,150,81,20,15,5,152,102,50,59,33,26,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
10,1.611 HAET7INGEN,223,133,90,14,10,4,156,104,52,53,19,34,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
11,1612 LEUGGELBACH,69,42,27,11,7,4,45,30,15,13,5,8,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
12,1613 LINTHAL,657,415,242,87,62,25,400,271,129,169,82,87,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
13,1614 LUCHSINGEN,304,183,121,25,14,11,213,135,78,66,34,32,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
14,1615 MATT,186,131,55,62,44,18,69,59,10,55,28,27,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
15,1616 MITLOEDI,512,350,162,27,20,7,325,244,81,157,85,72,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
16,1617 MOLLIS,1295,829,466,144,105,39,679,506,173,471,218,253,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
17,1618 MUEHLEHORN,240,178,62,14,12,2,143,115,28,82,50,32,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
18,1619 NAEFELS,1889,1239,650,137,89,48,1088,798,290,657,346,311,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
19,1620 NETSTAL,1308,842,466,35,24,11,857,629,228,408,184,224,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
20,1621 NIDFURN,96,63,33,10,7,3,57,40,17,28,15,13,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
21,1622 NIEDERURNEN,1680,1090,590,68,55,13,1072,767,305,530,264,266,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
22,1623 OBERURNEN,902,557,345,74,46,28,574,399,175,251,110,141,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
23,1624 OBSTALDEN,- 186,116,70,56,37,19,69,53,16,61,26,35,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
24,1625 RIEDERN,343,214,129,12,8,4,187,135,52,142,71,71,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
25,1626 RUETI (GI.),252,143,109,20,14,6,201,113,88,31,16,15,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
26,1627 SCHWANDEN (GI- ),1134,721,413,55,38,17,703,504,199,372,176,196,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
27,1628 SCHWAENDI,126,79,47,18,13,5,60,41,19,46,24,22,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
28,1629 SOOL,118,78,40,15,11,4,68,56,12,33,10,23,GLARUS,18247,11535,6712,1484,1034,450,10106,7299,2807,6597,3170,3427
