,mun_name,mun_employed,male_employed,fem_employed,mun_1sector,male_1sector,fem_1sector,mun_2sector,male_2sector,fem_2sector,mun_3sector,male_3sector,fem_3sector,can_name,can_employed,can_male_employed,can_fem_employed,can_mun_1sector,can_male_1sector,can_fem_1sector,can_mun_2sector,can_male_2sector,can_fem_2sector,can_mun_3sector,can_male_3sector,can_fem_3sector,district
2,3501 ALVASCHEIN 66,45,21,11.0,9,2,20,20,-,34,15,19.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
3,53502 MON 30,24,6,15.0,14,1,4,4,-,11,6,,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
4,3503 MUTTER 35,23,12,22.0,14,8,5,5,-,8,4,4.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
5,3504 STIERVA 36,28,8,18.0,16,2,7,7,- -,10,5,5.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
6,3505 TIEFENCASTEL 130,99,31,5.0,5,-,44,41,3,78,51,27.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
7,3506 VAZ/OBERVAZ 1099,683,416,77.0,61,16,329,275,54,689,345,344.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
9,3511 ALVANEU 169,119,50,54.0,38,16,68,65,3,47,16,31.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
10,3512 BRIENZ (GR) 37,23,14,15.0,13,2,5,5,-,16,5,11.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
11,3513 LANTSCH/LENZ 178,129,49,31.0,22,9,64,58,6,82,48,34.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
12,3514 SCHMITTEN (GR) 83,62,21,4.0,2,2,39,36,3,38,22,16.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
13,3515 SURAVA 72,54,18,5.0,5,-,35,32,3,32,17,15.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
15,3521 BERGUEN/BRAVUOGN 247,166,81,42.0,29,13,82,64,18,122,72,50.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
16,3522 FILISUR 194,143,51,60.0,47,13,62,57,5,71,38,33.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
17,3523 WIESEN (GR) 107,71,36,23.0,16,7,23,20,3,61,35,26.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
19,3531 BIVIO 102,69,33,14.0,13,1,28,25,3,59,30,29.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
20,3532 CUNTER 60,38,22,14.0,10,4,20,18,2,26,10,16.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
21,3533 MARMORERA 12,8,4,,-,-,3,3,-,9,5,4.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
22,3534 MULEGNS 18,9,9,4.0,2,2,2,2,-,12,5,7.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
23,3536 RIOM-PARSONZ 107,86,21,42.0,36,6,32,30,2,33,20,13.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
24,3537 RONA 21,15,6,15.0,12,3,-,-,-,6,3,3.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
25,3538 SALOUF 68,47,21,34.0,28,6,13,12,1,21,7,14.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
26,3539 SAVOGNIN 405,255,150,37.0,30,7,125,105,20,240,119,121.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
27,3540 SUR 43,31,12,7.0,7,-,22,20,2,14,4,10.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
28,3541 TINIZONG 125,93,32,35.0,30,5,41,38,3,49,25,24.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
31,3551 BRUSIO 450,329,121,70.0,48,22,156,125,31,219,152,67.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
33,3561 POSCHIAVO 1176,839,337,194.0,130,64,374,324,50,599,380,219.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
36,3571 CASTRISCH 116,82,34,30.0,24,6,40,38,2,43,19,24.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
37,3572 FALERA 162,115,47,33.0,31,2,23,23,-,104,59,45.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
38,3573 FLOND 50,35,15,24.0,17,7,11,11,-,15,7,8.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
39,3574 ILANZ 1073,490,583,15.0,14,1,239,197,42,813,274,539.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
40,3575 LAAX 458,278,180,24.0,18,6,81,75,6,348,182,166.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
41,3576 LADIR 40,30,10,15.0,14,1,9,9,-,13,6,7.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
42,3577 LUVEN 52,34,18,27.0,17,10,12,11,1,13,6,7.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
43,3578 PITASCH 50,33,17,23.0,15,8,11,10,1,14,6,8.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
44,3579 RIEIN 43,30,13,31.0,22,9,3,3,,8,5,3.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
45,3580 RUSCHEIN 104,88,16,26.0,24,2,46,44,2,27,16,11.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
46,3581 SAGOGN 170,129,41,10.0,10,-,86,79,7,73,39,34.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
47,3582 SCHLEUIS 167,120,47,21.0,16,5,72,58,14,72,45,27.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
48,3583 SCHMAUS 47,27,20,15.0,9,6,13,7,6,18,10,8.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
49,3584 SEVGEIN 73,58,15,21.0,17,4,28,28,,24,13,11.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
50,3586 VALENDAS 103,77,26,63.0,46,17,17,16,1,23,15,8.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
51,3587 VERSAM 118,78,40,57.0,41,16,19,15,4,42,22,20.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
53,3591 CAMUNS 33,18,15,30.0,16,14,1,1,-,2,1,,1.0,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
54,97,73,24,24.0,21,3,36,34,2,37,18,19.0,,GRAUBUENDEN,51713,27688,8147,5808,2339,24996,21155,3841,45838,24525,21313,Unnamed: 12,1
