,mun_name,mun_employed,male_employed,fem_employed,mun_1sector,male_1sector,fem_1sector,mun_2sector,male_2sector,fem_2sector,mun_3sector,male_3sector,fem_3sector,can_name,1,2,3,4,5,6,7,8,9,10,11,12
0,ENTLEBUCH,7549,5431,2118,2553,2080,473,2377,2050,327,2592,1289,1303,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
1,1001 DOPPLESCHWAND,205,166,39,78,73,5,64,60,4,62,32,30,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
2,1002 ENTLEBUCH,1481,1082,399,386,338,48,485,437,48,606,305,301,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
3,1003 ESCHOLZMATT,1354,962,392,512,416,96,453,367,86,380,176,204,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
4,1004 FLUEHLI,664,476,188,252,217,35,159,132,27,252,127,125,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
5,1005 HASLE (LU),674,499,175,208,168,40,245,222,23,219,108,111,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
6,1006 MARBACH (LU),579,392,187,318,220,98,133,115,18,128,57,71,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
7,1007 ROMOOS,348,278,70,195,163,32,84,74,10,67,41,26,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
8,1008 SCHUEPFHEIM,1402,980,422,403,339,64,414,362,52,580,276,304,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
9,1009 WERTHENSTEIN,842,596,246,201,146,55,340,281,59,298,167,131,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
10,HOCHDORF,22065,15066,6999,2440,1850,590,10233,8246,1987,9330,4944,4386,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
11,1021 AESCH (LU),319,241,78,82,64,18,148,117,31,87,60,27,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
12,1022 ALTWIS,150,106,44,55,39,16,51,41,10,44,26,18,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
13,1023 BALLWIL,674,485,189,129,112,17,282,231,51,263,142,121,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
14,1024 EMMEN,10784,7357,3427,216,169,47,5754,4639,1115,4777,2533,2244,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
15,1025 ERMENSEE,224,160,64,50,39,11,92,80,12,82,41,41,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
16,1026 ESCHENBACH (LU),1045,719,326,154,126,28,454,359,95,435,232,203,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
17,1027 GELFINGEN,194,140,54,45,35,10,72,57,15,77,48,29,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
