,mun_name,mun_employed,male_employed,fem_employed,mun_1sector,male_1sector,fem_1sector,mun_2sector,male_2sector,fem_2sector,mun_3sector,male_3sector,fem_3sector,can_name,1,2,3,4,5,6,7,8,9,10,11,12
0,1501 BECKENRIED,982,736,246,112,98,14,463,415,48,407,223,184,NIDWALDEN,13571,9463,4108,1461,1113,348,5379,4555,824,6677,3768,2909
1,1502 BUOCNS,1700,1266,434,138,120,18,751,635,116,806,507,299,NIDWALDEN,13571,9463,4108,1461,1113,348,5379,4555,824,6677,3768,2909
2,1503 DALLENWIL,563,384,179,135,90,45,218,196,22,206,96,110,NIDWALDEN,13571,9463,4108,1461,1113,348,5379,4555,824,6677,3768,2909
3,1504 EMMETTEN,336,219,117,57,42,15,107,95,12,172,82,90,NIDWALDEN,13571,9463,4108,1461,1113,348,5379,4555,824,6677,3768,2909
4,1505 ENNETBUERGEN,1300,938,362,129,112,17,605,496,109,561,327,234,NIDWALDEN,13571,9463,4108,1461,1113,348,5379,4555,824,6677,3768,2909
5,1506 ENNETM005,646,513,133,168,130,38,248,233,15,229,149,80,NIDWALDEN,13571,9463,4108,1461,1113,348,5379,4555,824,6677,3768,2909
6,1507 HERGISWIL (NW),2086,1415,671,51,46,5,778,652,126,1241,706,535,NIDWALDEN,13571,9463,4108,1461,1113,348,5379,4555,824,6677,3768,2909
7,1508 OBERDORF (NW),1035,707,328,197,141,56,364,319,45,471,246,225,NIDWALDEN,13571,9463,4108,1461,1113,348,5379,4555,824,6677,3768,2909
8,1509 STANS,2607,1672,935,137,95,42,920,746,174,1541,830,711,NIDWALDEN,13571,9463,4108,1461,1113,348,5379,4555,824,6677,3768,2909
9,1510 STANSSTAD,1564,1066,498,102,66,36,648,521,127,803,475,328,NIDWALDEN,13571,9463,4108,1461,1113,348,5379,4555,824,6677,3768,2909
10,1511 WOLFENSCHIESSEN,752,547,205,235,173,62,277,247,30,240,127,113,NIDWALDEN,13571,9463,4108,1461,1113,348,5379,4555,824,6677,3768,2909
