,mun_name,mun_employed,male_employed,fem_employed,mun_1sector,male_1sector,fem_1sector,mun_2sector,male_2sector,fem_2sector,mun_3sector,male_3sector,fem_3sector,can_name,1,2,3,4,5,6,7,8,9,10,11,12
0,OBERKLETTGAU,1480,1013,467,322,204,118,607,499,108,539,302,237,SCHAFFHAUSEN,33849,21622,12227,2124,1361,763,17073,12862,4211,14438,7280,7158
1,2901 GAECHLINGEN,313,200,113,94,53,41,103,86,17,112,58,54,SCHAFFHAUSEN,33849,21622,12227,2124,1361,763,17073,12862,4211,14438,7280,7158
2,2902 GUNTMADINGEN,96,63,33,39,27,12,25,18,7,31,18,13,SCHAFFHAUSEN,33849,21622,12227,2124,1361,763,17073,12862,4211,14438,7280,7158
3,2903 LOEHNINGEN,329,238,91,51,38,13,145,125,20,130,72,58,SCHAFFHAUSEN,33849,21622,12227,2124,1361,763,17073,12862,4211,14438,7280,7158
4,2904 NEUNKIRCH,602,435,167,68,51,17,304,248,56,228,135,93,SCHAFFHAUSEN,33849,21622,12227,2124,1361,763,17073,12862,4211,14438,7280,7158
5,2905 OSTERFINGEN,140,77,63,70,35,35,30,22,8,38,19,19,SCHAFFHAUSEN,33849,21622,12227,2124,1361,763,17073,12862,4211,14438,7280,7158
6,REIAT,2947,1958,989,326,209,117,1530,1125,405,1084,619,465,SCHAFFHAUSEN,33849,21622,12227,2124,1361,763,17073,12862,4211,14438,7280,7158
7,2911 ALTDORF (SH),73,50,23,32,17,15,23,19,4,16,12,4,SCHAFFHAUSEN,33849,21622,12227,2124,1361,763,17073,12862,4211,14438,7280,7158
8,2912 BARZHEIM,83,46,37,34,19,15,25,17,8,24,10,14,SCHAFFHAUSEN,33849,21622,12227,2124,1361,763,17073,12862,4211,14438,7280,7158
9,2913 BIBERN (SH),114,85,29,18,12,6,48,38,10,48,35,13,SCHAFFHAUSEN,33849,21622,12227,2124,1361,763,17073,12862,4211,14438,7280,7158
10,2914 BUETTENHARDT,77,57,20,19,13,6,33,28,5,25,16,9,SCHAFFHAUSEN,33849,21622,12227,2124,1361,763,17073,12862,4211,14438,7280,7158
11,2915 DOERFLINGEN,248,160,88,63,40,23,77,60,17,107,59,48,SCHAFFHAUSEN,33849,21622,12227,2124,1361,763,17073,12862,4211,14438,7280,7158
12,2916 HOFEN,53,35,18,5,4,1,25,19,6,23,12,11,SCHAFFHAUSEN,33849,21622,12227,2124,1361,763,17073,12862,4211,14438,7280,7158
13,2917 LOHN (SH),172,122,50,23,16,7,89,70,19,59,35,24,SCHAFFHAUSEN,33849,21622,12227,2124,1361,763,17073,12862,4211,14438,7280,7158
14,2918 OPFERTSHOFEN (SH),55,35,20,21,13,8,16,11,5,17,11,6,SCHAFFHAUSEN,33849,21622,12227,2124,1361,763,17073,12862,4211,14438,7280,7158
15,2919 STETTEN (5H),188,136,52,29,18,11,73,63,10,86,55,31,SCHAFFHAUSEN,33849,21622,12227,2124,1361,763,17073,12862,4211,14438,7280,7158
16,2920 THAYNGEN,1884,1232,652,82,57,25,1121,800,321,679,374,305,SCHAFFHAUSEN,33849,21622,12227,2124,1361,763,17073,12862,4211,14438,7280,7158
17,SCHAFFHAUSEN,24392,15410,8982,494,354,140,12929,9645,3284,10814,5322,5492,SCHAFFHAUSEN,33849,21622,12227,2124,1361,763,17073,12862,4211,14438,7280,7158
18,2931 BARGEN (SH),122,82,40,28,19,9,27,21,6,67,42,25,SCHAFFHAUSEN,33849,21622,12227,2124,1361,763,17073,12862,4211,14438,7280,7158
19,2932 BERINGEN,1119,766,353,57,39,18,642,515,127,418,212,206,SCHAFFHAUSEN,33849,21622,12227,2124,1361,763,17073,12862,4211,14438,7280,7158
20,2933 BUCHBERG,280,193,87,53,34,19,104,89,15,123,70,53,SCHAFFHAUSEN,33849,21622,12227,2124,1361,763,17073,12862,4211,14438,7280,7158
21,2934 HEMMENTAL,214,153,61,29,22,7,94,80,14,91,51,40,SCHAFFHAUSEN,33849,21622,12227,2124,1361,763,17073,12862,4211,14438,7280,7158
22,2936 MERISHAUSEN,260,189,71,45,35,10,118,95,23,96,59,37,SCHAFFHAUSEN,33849,21622,12227,2124,1361,763,17073,12862,4211,14438,7280,7158
