,mun_name,mun_employed,male_employed,fem_employed,mun_1sector,male_1sector,fem_1sector,mun_2sector,male_2sector,fem_2sector,mun_3sector,male_3sector,fem_3sector,can_name,1,2,3,4,5,6,7,8,9,10,11,12
0,EINSIEDELN,4510,3002,1508,424,373,51,2038,1577,461,2020,1032,988,SCHWYZ,45268,30527,14741,4461,3555,906,20638,16230,4408,19977,10622,9355
1,1301 EINSIEDELN,4510,3002,1508,424,373,51,2038,1577,461,2020,1032,988,SCHWYZ,45268,30527,14741,4461,3555,906,20638,16230,4408,19977,10622,9355
2,GERS AU,821,509,312,122,91,31,361,265,96,335,150,185,SCHWYZ,45268,30527,14741,4461,3555,906,20638,16230,4408,19977,10622,9355
3,1311 GERSAU,821,509,312,122,91,31,361,265,96,335,150,185,SCHWYZ,45268,30527,14741,4461,3555,906,20638,16230,4408,19977,10622,9355
4,HOEFE,8189,5534,2655,404,316,88,3948,3099,849,3789,2083,1706,SCHWYZ,45268,30527,14741,4461,3555,906,20638,16230,4408,19977,10622,9355
5,1321 FEUSISBERG,1378,947,431,185,148,37,596,484,112,588,307,281,SCHWYZ,45268,30527,14741,4461,3555,906,20638,16230,4408,19977,10622,9355
6,1322 FREIENBACH,4986,3338,1648,148,109,39,2448,1927,521,2363,1283,1080,SCHWYZ,45268,30527,14741,4461,3555,906,20638,16230,4408,19977,10622,9355
7,1323 WOLLERAU,1825,1249,576,71,59,12,904,688,216,838,493,345,SCHWYZ,45268,30527,14741,4461,3555,906,20638,16230,4408,19977,10622,9355
8,KUESSNACHT,3784,2619,1165,357,269,88,1749,1413,336,1660,927,733,SCHWYZ,45268,30527,14741,4461,3555,906,20638,16230,4408,19977,10622,9355
9,1331 KUESSNACHT AM RIGI,3784,2619,1165,357,269,88,1749,1413,336,1660,927,733,SCHWYZ,45268,30527,14741,4461,3555,906,20638,16230,4408,19977,10622,9355
10,MARCH,11027,7514,3513,1036,804,232,5819,4532,1287,4128,2153,1975,SCHWYZ,45268,30527,14741,4461,3555,906,20638,16230,4408,19977,10622,9355
11,1341 ALTENDORF,1317,948,369,173,135,38,619,511,108,516,298,218,SCHWYZ,45268,30527,14741,4461,3555,906,20638,16230,4408,19977,10622,9355
12,1342 GALGENEN,1313,919,394,167,120,47,688,556,132,446,235,211,SCHWYZ,45268,30527,14741,4461,3555,906,20638,16230,4408,19977,10622,9355
13,1343 INNERTHAL,76,58,18,32,28,4,25,22,3,19,8,11,SCHWYZ,45268,30527,14741,4461,3555,906,20638,16230,4408,19977,10622,9355
14,1344 LACHEN,2619,1649,970,26,20,6,1380,1050,330,1210,578,632,SCHWYZ,45268,30527,14741,4461,3555,906,20638,16230,4408,19977,10622,9355
15,1345 REICHENBURG,890,621,269,94,75,19,456,353,103,337,192,145,SCHWYZ,45268,30527,14741,4461,3555,906,20638,16230,4408,19977,10622,9355
16,1346 SCHUEBELBACH,2295,1528,767,197,149,48,1288,951,337,804,425,379,SCHWYZ,45268,30527,14741,4461,3555,906,20638,16230,4408,19977,10622,9355
17,1347 TUGGEN,861,600,261,97,88,9,517,394,123,245,116,129,SCHWYZ,45268,30527,14741,4461,3555,906,20638,16230,4408,19977,10622,9355
