,mun_name,mun_employed,male_employed,fem_employed,mun_1sector,male_1sector,fem_1sector,mun_2sector,male_2sector,fem_2sector,mun_3sector,male_3sector,can_name,1,2,3,4,5,6,7,8,9,10,11
0,BALSTHAL—GAEU,6119,4026,2093,363,270,93,3104,2242,862,2636,1503 1133,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
1,2401 EGERKINGEN,1027,635,392,21,15,6,418,295,123,586,324 262,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
2,2402 HAERKINGEN,435,297,138,39,30,9,190,153,37,205,113 92,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
3,2403 KESTENHOLZ,553,390,163,53,40,13,271,210,61,228,139 89,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
4,2404 NEUENDORF,567,393,174,46,33,13,253,196,57,266,162 104,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
5,2405 NIEDERBUCHSITEN,317,207,110,60,42,18,139,99,40,117,66 51,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
6,2406 OBERBUCHSITEN,700,463,237,33,25,8,353,251,102,312,186 126,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
7,2407 OENSINGEN,1746,1117,629,54,42,12,1029,717,312,659,355 304,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
8,2408 WOLFWIL,774,524,250,57,43,14,451,321,130,263,158 105,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
9,BALSTHAL — TAL,6018,3960,2058,584,436,148,3609,2585,1024,1815,935 880,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
10,2421 AEDERMANNSDORF,228,147,81,49,35,14,126,91,35,52,21 31,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
11,2422 BALSTHAL,2365,1555,810,46,36,10,1534,1101,433,779,415 364,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
12,2423 GAENSBRUNNEN,48,37,11,20,19,1,9,9,—,19,9 10,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
13,2424 HERBETSWIL,278,179,99,52,34,18,172,122,50,54,23 31,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
14,2425 HOLDERBANK (SO),296,176,120,29,23,6,181,111,70,86,42 44,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
15,2426 LAUPERSDORF,593,415,178,63,59,4,354,260,94,175,96 79,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
16,2427 MATZENDORF,477,316,161,83,51,32,250,185,65,144,80 64,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
17,2428 MUEMLISWIL—RAMISWIL,1140,776,364,171,134,37,625,483,142,342,158 184,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
18,2429 WELSCHENROHR,593,359,234,71,45,26,358,223,135,164,91 73,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
19,BUCHEGGBERG,2757,1835,922,682,455,227,1040,845,195,1022,526 496,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
20,2441 AETIGKOFEN,54,37,17,19,14,5,17,14,3,17,8 9,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
21,2442 AETINGEN,105,82,23,24,21,3,49,44,5,32,17 15,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
22,2443 BALM BEI MESSEN,54,29,25,18,7,11,13,8,5,23,14 9,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
23,2444 BIBERN (SO),94,67,27,24,18,6,42,34,8,28,15 13,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
24,2445 BIEZWIL,138,81,57,57,24,33,38,33,5,43,24  19,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
25,2446 BRUEGGLEN,65,47,18,14,9,5,28,25,3,23,13 10,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
26,2447 BRUNNENTHAL,64,46,18,14,12,2,25,20,5,25,14 11,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
27,2448 GAECHLIWIL,39,24,15,17,11,6,12,9,3,9,4 5,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
28,2449 GOSSLIWIL,85,53,32,25,15,10,30,26,4,30,12 18,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
29,2450 HESSIGKOFEN,100,64,36,31,20,11,23,19,4,46,25 21,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
30,2452 KUETTIGKOFEN,95,69,26,35,24,11,32,26,6,28,19 9,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
31,2453 KYBURG — BUCHEGG,132,80,52,16,12,4,43,38,5,73,30 43,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
32,2454 LUESSLINGEN,224,157,67,30,22,8,101,80,2).,92,54 38,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
33,2455 LUETERKOFEN — ICHERTS.,279,189,90,47,37,10,99,80,19,132,71 61,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
34,2456 LUETERSWIL,100,67,33,30,19,11,37,28,9,31,19 12,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
35,2457 MESSEN,324,205,119,75,55,20,118,94,24,130,56 74,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
36,2458 MUEHLEDORF (SO),105,73,32,27,19,8,50,38,12,26,14 12,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
37,2459 NENNIGKOFEN,195,127,68,49,35,14,79,61,18,67,31 36,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
38,2460 OBERRAMSERN,45,29,16,14,9,5,18,15,3,13,5 8,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
39,2461 SCHNOTTWIL,334,222,112,82,49,33,138,112,26,110,58 52,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
40,2462 TSCHEPPACH,59,42,17,14,10,4,23,20,3,22,12 10,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
41,2463 UNTERRAMSERN,67,45,22,20,13,7,25,21,4,22,11 11,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
42,DORNECK,5953,3926,2027,388,284,104,2340,1908,432,3189,1707 1482,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
43,2471 BAETTWIL,219,137,82,13,10,3,72,54,18,129,69 60,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
44,2472 BUEREN (SO),249,170,79,28,23,5,113,86,27,108,61 47,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
45,2473 DORNACH,2338,1463,875,29,24,5,855,690,165,1443,742 701,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
46,2474 GEMPEN,227,147,80,33,23,10,61,51,10,131,72 59,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
47,2475 HOCHWALD,298,218,80,61,49,12,105,91,14,132,78 54,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
48,2476 HOFSTETTEN (SO),766,509,257,44,31,13,327,269,58,386,201 185,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
49,2477 METZERLEN,336,221,115,37,30,7,121,95,26,176,95 81,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
50,2478 NUGLAR—ST.PANTALEON,420,295,125,29,23,6,238,195,43,152,76 76,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
51,2479 RODERSDORF,343,232,111,28,18,10,120,102,18,194,111 83,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
52,2480 SEEWEN,343,233,110,70,39,31,159,131,28,113,62 51,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
53,2481 WITTERSWIL,414,301,113,16,14,2,169,144,25,225,140 85,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
54,GOESGEN .,9923,6295,3628,426,299,127,4699,3467,1232,4758,2505 2253,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
55,2491 HAUENSTEIN — IFENTHAL,96,68,28,29,19,10,27,24,3,39,25 14,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
56,2492 KIENBERG,213,130,83,78,51,27,65,52,13,69,26 43,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
57,2493 LOSTORF,1106,760,346,55,42,13,473,384,89,577,333 244,SOLOTHURN,106684,68406,38278,4765,3450,1315,55996,41134,14862,45530,23587 21943
