,mun_name,mun_employed,male_employed,fem_employed,mun_1sector,male_1sector,fem_1sector,mun_2sector,male_2sector,fem_2sector,mun_3sector,male_3sector,fem_3sector,can_name,can_employed,can_male_employed,can_fem_employed,can_mun_1sector,can_male_1sector,can_fem_1sector,can_mun_2sector,can_male_2sector,can_fem_2sector,can_mun_3sector,can_male_3sector,can_fem_3sector,district
1,3201 HAEGGENSCHWIL,374,252,122,7.1,92,18,142,104,38,121,56,65,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
2,3202 MUOLEN,396,266,130,170.0,119,51,126,104,22,100,43,57,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
3,3203 ST.GALLEN,36996,22007,14989,354.0,280,74,12984,9321,3663,21763,11226,10537,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
4,3204 WITTENBACH,3646,2330,1316,154.0,105,49,1353,1069,284,2132,1151,981,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
6,3211 BERG (SG),310,219,91,53.0,47,6,123,103,20,130,67,63,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
7,3212 EGGERSRIET,763,520,243,93.0,74,19,279,221,58,389,224,165,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
8,3213 GOLDACH,3632,2425,1207,50.0,40,10,1991,1515,476,1586,868,718,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
9,3214 MOERSCHWIL,977,701,276,117.0,92,25,382,323,59,477,285,192,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
10,3215 RORSCHACH,4899,2964,1935,32.0,26,6,2670,1849,821,2177,1076,1101,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
11,3216 RORSCHACHERBERG,2411,1624,787,66.0,45,21,1205,951,254,1124,618,506,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
12,3217 STEINACH,1170,792,378,57.0,48,9,751,575,176,359,167,192,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
13,3218 TUEBACH,367,259',108,30.0,24,6,174,138,36,161,95,66,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
14,3219 UNTEREGGEN,242,185,57,59.0,50,9,89,77,12,89,54,35,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
16,3231 AU (SG),2590,1733,857,45.0,33,12,1563,1130,433,979,569,410,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
17,3232 BALGACH,1427,923,504,50.0,38,12,920,651,269,453,232,221,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
18,3233 BERNECK,1238,836,402,99.0,58,41,696,522,174,438,253,185,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
19,3234 DIEPOLDSAU,1548,1045,503,77.0,58,19,1019,732,287,452,255,197,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
20,3235 RHEINECK,1429,868,561,18.0,13,5,903,594,309,502,259,243,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
21,3236 ST.MARGRETHEN,2487,1570,917,41.0,30,11,1301,921,380,1137,616,521,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
22,3237 THAL,2186,1463,723,97.0,63,34,1217,904,313,862,487,375,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
23,3238 WIDNAU,2796,1804,992,50.0,38,12,1836,1298,538,895,459,436,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
25,3251 ALTSTAETTEN,4121,2682,1439,397.0,288,109,2005,1489,516,1711,899,812,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
26,3252 EICHBERG,322,224,98,78.0,49,29,148,123,25,95,51,44,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
27,3253 MARBACH (SG),604,382,222,70.0,47,23,298,217,81,236,118,118,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
28,3254 OBERRIET (SG),2575,1902,673,188.0,164,24,1570,1253,317,809,482,327,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
29,3255 REBSTEIN,1500,979,521,61.0,47,14,935,645,290,502,286,216,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
30,3256 RUETHI (RHEINTAL),671,454,217,52.0,37,15,425,297,128,192,118,74,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
32,3271 BUCHS (SG),4213,2762,1451,113.0,81,32,1840,1395,445,2248,1277,971,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
33,3272 GAMS,1001,695,306,234.0,182,52,399,318,81,363,193,170,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
34,3273 GRABS,2112,1432,680,283.0,246,37,910,702,208,916,481,435,ST.GALLEN,183050,118252,64798,13034,9631,3403,85329,63669,21660,82250,43466,38784,1
