,mun_name,mun_employed,male_employed,fem_employed,mun_1sector,male_1sector,fem_1sector,mun_2sector,male_2sector,fem_2sector,mun_3sector,male_3sector,fem_3sector,can_name,can_employed,can_male_employed,can_fem_employed,can_mun_1sector,can_male_1sector,can_fem_1sector,can_mun_2sector,can_male_2sector,can_fem_2sector,can_mun_3sector,can_male_3sector,can_fem_3sector,can_1sector_perc,district
2,4401 ARBON,5320,3497,1823,47,40,7,3558,2673,885,1698,771,927,THURGAU,Unnamed: 1,88155,57087,31068,9823,6858,2965,43322,32370,10952,34701,17688,17013,1
3,4402 FRASNACHT,448,318,130,48,41,7,261,199,62,138,77,61,THURGAU,Unnamed: 1,88155,57087,31068,9823,6858,2965,43322,32370,10952,34701,17688,17013,1
4,4406 DOZWIL,176,114,62,24,17,7,70,53,17,81,43,38,THURGAU,Unnamed: 1,88155,57087,31068,9823,6858,2965,43322,32370,10952,34701,17688,17013,1
5,4411 EGNACH,1583,1067,516,381,278,103,679,514,165,519,272,247,THURGAU,Unnamed: 1,88155,57087,31068,9823,6858,2965,43322,32370,10952,34701,17688,17013,1
6,4416 HEFENHOFEN,336,234,102,82,53,29,174,136,38,79,44,35,THURGAU,Unnamed: 1,88155,57087,31068,9823,6858,2965,43322,32370,10952,34701,17688,17013,1
7,4421 HORN,962,616,346,28,22,6,562,414,148,369,178,191,THURGAU,Unnamed: 1,88155,57087,31068,9823,6858,2965,43322,32370,10952,34701,17688,17013,1
8,4426 KESSWIL,285,196,89,68,53,15,120,88,32,96,55,41,THURGAU,Unnamed: 1,88155,57087,31068,9823,6858,2965,43322,32370,10952,34701,17688,17013,1
9,4431 ROGGWIL (TO),709,497,212,143,115,28,296,236,60,268,144,124,THURGAU,Unnamed: 1,88155,57087,31068,9823,6858,2965,43322,32370,10952,34701,17688,17013,1
10,4436 ROMANSHORN,3682,2400,1282,125,86,39,1795,1289,506,1752,1020,732,THURGAU,Unnamed: 1,88155,57087,31068,9823,6858,2965,43322,32370,10952,34701,17688,17013,1
11,4441 SALMSACH,552,355,197,53,32,21,307,210,97,189,111,78,THURGAU,Unnamed: 1,88155,57087,31068,9823,6858,2965,43322,32370,10952,34701,17688,17013,1
12,4446 SOMMERI,257,132,125,69,43,26,70,61,9,118,28,90,THURGAU,Unnamed: 1,88155,57087,31068,9823,6858,2965,43322,32370,10952,34701,17688,17013,1
13,4451 UTTWIL,413,270,143,77,50,27,186,133,53,148,86,62,THURGAU,Unnamed: 1,88155,57087,31068,9823,6858,2965,43322,32370,10952,34701,17688,17013,1
15,4461 AMRISWIL,4310,2705,1605,244,166,78,2506,1711,795,1551,824,727,THURGAU,Unnamed: 1,88155,57087,31068,9823,6858,2965,43322,32370,10952,34701,17688,17013,1
16,4471 BISCHOFSZELL,1888,1223,665,50,36,14,1148,839,309,686,346,340,THURGAU,Unnamed: 1,88155,57087,31068,9823,6858,2965,43322,32370,10952,34701,17688,17013,1
18,4476 BUCHACKERN,73,50,23,28,14,14,31,26,5,13,10,3,THURGAU,Unnamed: 1,88155,57087,31068,9823,6858,2965,43322,32370,10952,34701,17688,17013,1
19,4477 ENGISHOFEN,93,60,33,44,28,16,27,19,8,22,13,9,THURGAU,Unnamed: 1,88155,57087,31068,9823,6858,2965,43322,32370,10952,34701,17688,17013,1
