,mun_name,mun_employed,male_employed,fem_employed,mun_1sector,male_1sector,fem_1sector,mun_2sector,male_2sector,fem_2sector,mun_3sector,male_3sector,fem_3sector,can_name,1,2,3,4,5,6,7,8,9,10,11,12
0,1201 ALTDORF (UR),3637,2385,1252,107,89,18,1887,1508,379,1626,779,847,URI,14816,10521,4295,1601,1216,385,6997,5874,1123,6155,3403,2752
1,1202 ANDERMATT,633,438,195,32,25,7,151,126,25,448,286,162,URI,14816,10521,4295,1601,1216,385,6997,5874,1123,6155,3403,2752
2,1203 ATTINGHAUSEN,497,362,135,84,65,19,258,214,44,154,83,71,URI,14816,10521,4295,1601,1216,385,6997,5874,1123,6155,3403,2752
3,1204 BAUEN,104,66,38,35,19,16,36,31,5,33,16,17,URI,14816,10521,4295,1601,1216,385,6997,5874,1123,6155,3403,2752
4,1205 BUERGLEN (UR),1470,1050,420,264,202,62,723,605,118,476,240,236,URI,14816,10521,4295,1601,1216,385,6997,5874,1123,6155,3403,2752
5,1206 ERSTFELD,1708,1285,423,88,67,21,727,608,119,887,606,281,URI,14816,10521,4295,1601,1216,385,6997,5874,1123,6155,3403,2752
6,1207 FLUELEN,707,488,219,39,30,9,345,298,47,321,158,163,URI,14816,10521,4295,1601,1216,385,6997,5874,1123,6155,3403,2752
7,1208 GOESCHENEN,285,229,56,9,8,1,108,99,9,166,121,45,URI,14816,10521,4295,1601,1216,385,6997,5874,1123,6155,3403,2752
8,1209 GURTNELLEN,387,268,119,87,63,24,175,150,25,123,55,68,URI,14816,10521,4295,1601,1216,385,6997,5874,1123,6155,3403,2752
9,1210 HOSPENTAL,102,67,35,6,6,-,20,19,1,75,42,33,URI,14816,10521,4295,1601,1216,385,6997,5874,1123,6155,3403,2752
10,1211 ISENTHAL,242,169,73,98,77,21,68,64,4,74,28,46,URI,14816,10521,4295,1601,1216,385,6997,5874,1123,6155,3403,2752
11,1212 REALP,183,160,23,6,2,4,116,113,3,61,45,16,URI,14816,10521,4295,1601,1216,385,6997,5874,1123,6155,3403,2752
12,1213 SCHATTDORF,1968,1455,513,101,93,8,1164,981,183,698,379,319,URI,14816,10521,4295,1601,1216,385,6997,5874,1123,6155,3403,2752
13,1214 SEEDORF (UR),519,359,160,26,23,3,272,224,48,219,111,108,URI,14816,10521,4295,1601,1216,385,6997,5874,1123,6155,3403,2752
14,1215 SEELISBERG,230,159,71,68,46,22,66,62,4,94,49,45,URI,14816,10521,4295,1601,1216,385,6997,5874,1123,6155,3403,2752
15,1216 SILENEN,937,693,244,143,102,41,443,372,71,347,217,130,URI,14816,10521,4295,1601,1216,385,6997,5874,1123,6155,3403,2752
16,1217 SISIKON,137,101,36,14,14,-,55,49,6,68,38,30,URI,14816,10521,4295,1601,1216,385,6997,5874,1123,6155,3403,2752
17,1218 SPIRINGEN,433,323,110,222,165,57,130,119,11,80,39,41,URI,14816,10521,4295,1601,1216,385,6997,5874,1123,6155,3403,2752
18,1219 UNTERSCHAECHEN,309,215,94,111,82,29,121,105,16,71,27,44,URI,14816,10521,4295,1601,1216,385,6997,5874,1123,6155,3403,2752
19,1220 WASSEN,328,249,79,61,38,23,132,127,5,134,84,50,URI,14816,10521,4295,1601,1216,385,6997,5874,1123,6155,3403,2752
