,mun_name,mun_employed,male_employed,fem_employed,mun_1sector,male_1sector,fem_1sector,mun_2sector,male_2sector,fem_2sector,mun_3sector,male_3sector,fem_3sector,can_name,can_employed,can_male_employed,can_fem_employed,can_mun_1sector,can_male_1sector,can_fem_1sector,can_mun_2sector,can_male_2sector,can_fem_2sector,can_mun_3sector,can_male_3sector,can_fem_3sector,district
1,6001 BIRGISCH,58,46,12,14,13,1,20,18,2,22,14,8,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
2,6002 BRIG-GLIS,3634,2516,1118,47,40,7,1065,951,114,2500,1511,989,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
3,6004 EGGERBERG,168,113,55,2,1,1,82,73,9,84,39,45,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
4,6006 MUND,248,193,55,45,25,20,125,119,6,78,49,29,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
5,6007 HATERS,2659,1937,722,29,25,4,894,777,117,1733,1134,599,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
6,6008 RIED BEI BRIG,432,327,105,47,36,11,139,131,8,242,158,84,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
7,6009 SIMPLON,158,102,56,41,25,16,50,46,4,63,30,33,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
8,6010 TERMEN,199,149,50,20,15,5,69,62,7,109,71,38,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
9,6011 ZWISCHBERGEN,60,49,11,2,2,-,19,18,1,39,29,10,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
11,6021 ARDON,716,496,220,102,57,45,273,238,35,340,201,139,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
12,6022 CHAMOSON,994,661,333,375,227,148,269,230,39,348,204,144,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
13,6023 CONTHEY,2281,1506,775,502,249,253,705,620,85,1068,633,435,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
14,6024 NENDAZ,1834,1296,538,206,124,82,710,623,87,879,533,346,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
15,6025 VETROZ,1062,737,325,180,97,83,361,303,58,496,319,177,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
17,6031 BAGNES,2285,1530,755,313,164,149,820,758,62,1117,585,532,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
18,6032 BOURG-SAINT-PIERRE,103,66,37,3,3,-,15,14,1,85,49,36,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
19,6033 LIDDES,264,192,72,72,47,25,88,83,5,102,61,41,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
20,6034 ORSIERES,956,654,302,177,89,88,334,299,35,437,263,174,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
21,6035 SEMBRANCHER,278,199,79,34,22,12,128,109,19,113,65,48,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
22,6036 VOLLEGES,457,311,146,120,65,55,183,155,28,152,91,61,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
24,6051 AUSSERBINN,18,17,1,5,5,-,9,9,-,4,3,1,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
25,6052 BEL NAM),118,90,28,12,11,1,48,46,2,56,33,23,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
26,5053 BTFI (VS),23,16,7,7,5,2,7,7,-,9,4,5,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
27,6054 BINN,60,45,15,18,17,1,20,18,2,22,10,12,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
28,6055 BLITZINGEN,51,31,20,16,11,5,12,10,2,22,9,13,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
29,6056 ERNEN,145,107,38,32,23,9,67,64,3,46,20,26,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
30,6057 FIESCH,316,219,97,11,8,3,113,101,12,190,109,81,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
31,6058 FIESCHERTAL,88,77,11,21,19,2,46,45,1,21,13,8,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
32,6059 GESCHINEN,35,23,12,20,12,8,7,7,-,8,4,4,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
33,6060 GLURINGEN,78,42,36,25,15,10,15,11,4,38,16,22,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
34,6061 LAX,109,90,19,18,15,3,53,51,2,38,24,14,VALAIS,96515,65173,31342,9936,5685,4251,35684,31353,4331,50164,27699,22465,1
