,mun_name,mun_employed,male_employed,fem_employed,mun_1sector,male_1sector,fem_1sector,mun_2sector,male_2sector,fem_2sector,mun_3sector,male_3sector,fem_3sector,can_name,can_employed,can_male_employed,can_fem_employed,can_mun_1sector,can_male_1sector,can_fem_1sector,can_mun_2sector,can_male_2sector,can_fem_2sector,can_mun_3sector,can_male_3sector,can_fem_3sector,district
1,1 AEUGST AM ALBIS,435,281,154,78,54,24,113,97,16,238,126,11,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
2,2 AFFOLTERN AM ALOIS,4105,2545,1560,106,79,27,1789,1386,403,2190,1063,112,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
3,3 BONSTETTEN,1117,716,401,70,43,27,338,268,70,706,403,30,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
4,4 HAUSEN AM ALBIS,1121,756,365,151,109,42,370,275,95,594,366,22,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
5,5 HEDINGEN,943,624,319,67,37,30,403,332,71,469,253,21,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
6,6 KAPPEL AM ALOIS,294,180,114,100,60,40,63,47,16,130,73,5,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
7,7 KNONAU,468,308,160,78,55,23,173,139,34,212,113,9,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
8,8 MASCHWANDEN,204,140,64,65,51,14,56,50,6,82,39,4,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
9,9 METTMENSTETTEN,1045,689,356,135,99,36,362,286,76,543,301,24,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
10,10 OBFELDEN,1528,1036,492,73,50,23,707,548,159,743,434,30,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
11,11 OTTENBACH,672,440,232,48,35,13,256,199,57,367,205,16,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
12,12 RIFFERSWIL,273,185,88,64,49,15,94,73,21,114,63,5,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
13,13 STALLIKON,761,527,234,81,62,19,202,164,38,471,296,17,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
14,14 WETTSWIL AM ALOIS,1622,1106,516,26,19,7,524,412,112,1064,668,39,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
16,21 ADLIKON,201,135,66,71,50,21,64,49,15,63,36,2,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
17,22 BENKEN (ZH),222,156,66,58,39,19,75,63,12,83,49,3,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
18,23 BERG AM IRCHEL,183,122,61,65,45,20,51,43,8,65,34,3,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
19,24 BUCH AM IRCHEL,235,150,85,90,59,31,52,43,9,91,47,4,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
20,25 DACHSEN,520,351,169,31,17,14,257,217,40,232,117,11,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
21,26 DORF,145,99,46,38,24,14,51,40,11,55,35,2,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
22,27 FEUERTHALEN,1365,895,470,13,10,3,778,590,188,569,293,27,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
23,28 FLAACH,436,275,161,96,58,38,157,128,29,183,89,9,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
24,29 FLURLINGEN,480,326,154,7,5,2,310,231,79,162,89,7,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
25,30 ANDELFINGEN,774,529,245,55,39,16,351,284,67,366,206,16,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
26,31 HENGGART,443,301,142,37,18,19,191,159,32,215,124,9,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
27,32 HUMLIKON,171,111,60,25,19,6,52,41,11,94,51,4,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
28,33 KLEINANDELFINGEN,653,448,205,96,69,27,273,231,42,284,148,13,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
29,34 LAUFEN-UHWIESEN,549,362,187,55,35,20,246,202,44,247,124,12,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
30,35 MARTHALEN,642,428,214,116,72,44,245,211,34,280,145,13,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
31,36 OBERSTAMMHEIM,447,270,177,137,86,51,137,112,25,172,72,10,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
32,37 OSSINGEN,483,328,155,140,88,52,155,134,21,187,105,8,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
33,38 RHEINAU,676,382,294,13,10,3,148,117,31,515,255,26,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
34,39 THALHEIM AN DER THUR,240,155,85,87,50,37,73,60,13,79,45,3,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
35,40 TRUELLIKON,412,284,128,101,67,34,149,133,16,160,84,7,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
36,41 TRUTTIKON,139,103,36,48,36,12,49,43,6,42,24,1,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
37,42 UNTERSTAMMHEIM,350,228,122,98,62,36,113,98,15,138,67,7,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
38,43 VOLKEN,117,75,42,55,35,20,28,21,7,34,19,1,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
39,44 WALTALINGEN,232,160,72,88,58,30,71,63,8,72,38,3,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
41,51 BACHENBUELACH,1418,946,472,25,20,5,466,340,126,923,582,34,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
42,52 BASSERSDORF,2779,1877,902,89,65,24,974,816,158,1666,961,70,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
43,53 BUELACH,6246,4144,2102,105,80,25,2613,2036,577,3474,1995,147,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
44,54 DIETLIKON,2905,1883,1022,40,'26,14,1021,809,212,1805,1018,78,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
45,55 EGLISAU,1190,828,362,87,55,32,522,428,94,568,339,22,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
46,56 EMBRACH,3007,1967,1040,90,60,30,947,738,209,1954,1159,79,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
47,57 FREIENSTEIN-TEUFEN,716,472,244,77,46,31,295,232,63,341,192,14,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
48,58 GLATTFELDEN,1400,931,469,75,50,25,755,545,210,565,335,23,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
49,59 HOCHFELDEN,474,330,144,42,28,14,201,169,32,230,133,9,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
50,60 HOERI,964,652,312,49,34,15,477,390,87,435,226,20,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
51,61 HUENTWANGEN,303,213,90,28,22,6,113,94,19,161,96,6,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
52,62 KLOTEN,9393,5863,3530,112,78,34,2004,1535,469,7188,4197,299,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
53,63 LUFINGEN,370,241,129,35,27,8,106,82,24,222,128,9,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
54,64 NUERENSDORF,1603,1106,497,79,58,21,464,389,75,1052,655,39,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
55,65 OBEREMBRACH,380,265,115,88,68,20,93,82,11,198,114,8,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
56,66 OPFIKON,6952,4263,2689,47,38,9,2385,1870,515,4486,2334,215,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
57,67 RAFZ,1114,759,355,170,109,61,499,404,95,439,242,19,ZUERICH,578846,359066,219780,16244,11431,4813,203134,156093,47041,352166,187086,16507,1
