,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,can_lang_ge,can_lang_fr,can_lang_it,can_lang_rae,can_lang_other,can_rel_prot,can_rel_romkath,can_rel_chrkath,can_rel_jew,can_rel_other,can_civil_sgl,can_civil_mar,can_civil_wid,can_civil_div,mun_name,can_name,district
0,49451,626,4474,113,3141,35694,17559,214,43,4295,24580,28097,3455,1.0,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,ARAU,AARGAU,1
1,13191,224,1173,40,1160,8787,5502,100,27,1372,6658,7353,1096,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,001 AARAU,AARGAU,1
2,861,4,8,1,15,664,165,-,-,60,391,425,60,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,002 BIBERSTEIN,AARGAU,1
3,4597,62,871,5,494,3074,2429,16,-,510,2399,3072,383,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,003 BUCHS (AG),AARGAU,1
4,582,4,4,1,5,482,53,-,,61,258,289,39,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,004 DENSBUEREN,AARGAU,1
5,2700,36,116,5,189,1943,887,19,1,196,1338,1517,123,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,005 ERLINSBACH,AARGAU,1
6,4686,24,439,6,91,3850,1098,10,-,288,2265,2590,290,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,006 GRAENICHEN,AARGAU,1
7,879,3,36,-,31,716,166,3,-,64,411,476,45,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,007 HIRSCHTHAL,AARGAU,1
8,3766,34,254,11,291,2818,1203,18,5,312,1841,2237,179,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,008 KUETTIGEN,AARGAU,1
9,2261,17,143,2,48,1882,435,3,-,151,1035,1239,157,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,009 MUHEN,AARGAU,1
10,4946,58,467,11,214,3686,1654,4,-,352,2500,2774,278,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,010 OBERENTFELDEN,AARGAU,1
11,1891,22,198,4,68,1384,619,10,,170,871,1128,128,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,011 ROHR (AG),AARGAU,1
12,6240,104,600,20,402,4362,2430,15,10,549,3205,3424,531,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,012 SUHR,AARGAU,1
13,2851,34,165,7,133,2046,918,16,,210,1408,1573,146,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,013 UNTERENTFELDEN,AARGAU,1
14,79671,1535,8762,302,8499,32665,56851,204,155,8894,43526,47919,4334,2.0,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,ADEN,AARGAU,1
15,10424,340,1354,36,1716,4735,7546,21,47,1521,6035,6536,796,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,021 BADEN,AARGAU,1
16,827,11,4,3,60,288,551,-,-,66,460,391,25,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,022 BELLIKON,AARGAU,1
17,1562,36,27,4,64,931,609,7,13,133,716,899,37,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,023 BERGDIETIKON,AARGAU,1
18,1329,11,40,2,64,521,842,1,-,82,640,724,66,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,024 BIRMENSTORF (AG),AARGAU,1
19,1954,69,270,14,295,951,1346,3,4,298,1053,1308,153,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,026 ENNETBADEN,AARGAU,1
20,3391,38,213,9,209,998,2631,12,4,215,1766,1844,156,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,027 FISLISBACH,AARGAU,1
21,471,2,4,1,11,95,371,-,-,23,244,213,24,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,028 FREIENWIL,AARGAU,1
22,2759,33,417,10,391,1436,1732,2,2,438,1615,1746,156,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,029 GEBENSTORF,AARGAU,1
23,918,15,55,8,45,384,571,-,-,86,423,560,35,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,030 KILLWAHGEN,AARGAU,1
24,1044,2,31,5,32,184,894,-,-,36,530,531,36,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,031 KUENTEN,AARGAU,1
25,889,13,15,2,24,370,518,3,-,52,404,481,35,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,032 MAEGEHWIL,AARGAU,1
26,2635,34,357,14,245,1075,1939,2,3,266,1513,1555,131,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,033 MELLINGEN,AARGAU,1
27,5028,63,1138,31,943,2031,4363,9,9,791,3199,3492,268,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,034 NEUENHOF,AARGAU,1
28,2080,20,165,4,155,713,1529,4,1,177,1092,1225,63,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,035 NIEDERROHRDORF,AARGAU,1
29,1351,16,91,2,29,372,1050,4,-,63,687,717,49,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,036 OBEREHRENDINGEH,AARGAU,1
30,2608,38,64,6,147,1007,1623,13,4,216,1301,1424,76,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,037 DBERROHRDORF,AARGAU,1
31,5942,151,543,20,786,2402,4317,13,4,706,3285,3644,293,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,038 OBERSIGGENTHAL,AARGAU,1
32,724,7,9,2,54,282,449,3,-,62,380,374,25,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,039 REMETSCHWIL,AARGAU,1
33,5335,102,982,22,757,2439,3932,25,20,782,3391,3213,176,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,040 SPREITENBACH,AARGAU,1
34,889,4,38,-,27,266,632,-,1,59,430,484,31,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,041 STETTEN (AG),AARGAU,1
35,1918,31,348,7,400,1000,1357,9,5,333,1203,1316,124,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,042 TURGI,AARGAU,1
36,915,20,10,2,40,367,544,-,-,76,445,487,35,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,043 UNTEREHRENDINGEN,AARGAU,1
37,3799,79,422,11,286,1543,2672,11,2,369,1989,2307,185,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,044 UNTERSIGGENTHAL,AARGAU,1
38,14734,311,1854,71,1407,6101,10581,59,30,1606,7568,9125,1091,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,045 WETTINGEN,AARGAU,1
39,772,6,14,2,45,239,542,-,-,58,404,382,35,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,046 WOHLENSCHWIL,AARGAU,1
40,2457,21,185,4,164,587,2076,2,-,166,1339,1320,125,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,047 WUERENLINGEN,AARGAU,1
41,2916,62,112,10,103,1348,1634,1,6,214,1414,1621,108,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,048 WUERENLOS,AARGAU,1
42,40125,405,3641,178,2081,11943,31292,57,35,3103,21386,21952,1982,1.0,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,REMGARTEN,AARGAU,1
43,779,7,15,1,15,252,497,1,1,66,374,398,28,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,061 ARNI-ISLISBERG,AARGAU,1
44,2104,38,70,9,93,835,1305,1,-,173,1066,1131,54,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,062 BERIKON,AARGAU,1
45,3999,34,322,20,440,985,3433,3,13,381,2297,2152,233,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,063 BREMGARTEN (AG),AARGAU,1
46,491,2,3,1,3,163,326,-,-,11,246,231,13,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,064 BUETTIKON,AARGAU,1
47,1898,19,487,22,219,568,1814,5,,258,1227,1265,104,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,065 DOTTIKON,AARGAU,1
48,396,1,7,1,12,171,221,1,-,24,197,199,15,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,066 EGGENWIL,AARGAU,1
49,611,2,4,4,12,158,448,-,,27,297,304,24,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,067 FISCHBACH-GOESLIKON,AARGAU,1
50,1461,11,139,4,57,291,1287,,-,94,746,779,108,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,068 HAEGGLINGEN,AARGAU,1
51,472,2,10,1,13,114,363,-,,21,283,199,12,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,069 HERMETSCHWIL-STAFF.,AARGAU,1
52,160,3,2,1,2,29,130,,-,9,87,76,3,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,070 HILFIKON,AARGAU,1
53,777,1,10,4,8,134,629,-,-,37,398,346,43,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,071 JONEN,AARGAU,1
54,1511,13,73,4,30,356,1195,3,,77,857,642,98,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,072 NIEDERWIL (AG),AARGAU,1
55,698,2,2,1,20,237,434,1,2,49,333,354,25,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,073 OBERLUNKHOFEN,AARGAU,1
56,1121,12,15,2,41,483,607,1,3,97,558,566,30,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,074 OBERWIL (AG),AARGAU,1
57,3051,53,264,25,189,1358,1910,13,5,296,1626,1774,75,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,075 RUDOLFSTETTEN-F'BERG,AARGAU,1
58,1308,1,78,3,41,128,1247,-,-,56,686,632,88,,388206,4620,33717,959,25940,204425,210976,4005,384,33652,198768,220332,23378,10,076 SARMENSTORF,AARGAU,1
