,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,mun_name,can_name,1,2,3,4,5,6,7,8,9,10,11,12,13
0,114536,4319,8006,333,7241,62980,57200,874,359,13022,55101,68873,6000,44.0,ARL EON EIM,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
1,6426,152,847,18,511,2788,4487,22,5,652,3463,4016,275,2.0,2801 AESCH (BL),BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
2,15372,686,941,54,899,8006,7629,318,67,1932,6879,9411,913,7.0,2802 ALLSCHWIL,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
3,6850,233,560,20,561,3380,3681,42,21,1100,3528,4011,439,2.0,2803 ARLESHEIM,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
4,1754,43,23,3,69,1219,524,19,6,124,833,971,49,,2805 BIEL -BENKEN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
5,11789,640,816,28,922,7289,5267,54,124,1461,5562,7208,820,6.0,2806 BINNINGEN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
6,10218,334,1153,32,806,5811,5450,54,23,1205,4984,6467,616,4.0,2807 BIRSFELDEN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
7,4100,204,164,15,387,2718,1683,13,15,441,2062,2496,172,1.0,2808 BOTTMINGEN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
8,3592,91,215,2,179,1435,2294,20,11,319,1863,2034,95,,2809 ETTINGEN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
9,9376,323,730,29,544,5476,4327,71,13,1115,4222,5786,626,3.0,2810 MUENCHENSTEIN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
10,14347,464,1184,49,867,9356,5967,67,16,1505,6890,8716,837,4.0,2811 MUTT ENZ,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
