,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,can_lang_ge,can_lang_fr,can_lang_it,can_lang_rae,can_lang_other,can_rel_prot,can_rel_romkath,can_rel_chrkath,can_rel_jew,can_rel_other,can_civil_sgl,can_civil_mar,can_civil_wid,can_civil_div,mun_name,can_name,district
0,24398 415,,885,14,891.0,22459,3017,16,12,1099,11603,12954,1523,523,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,AARBERG,BERN,1
1,2940 39,,123,3,107.0,2671,386,1,2,152,1427,1546,188,51,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,301 AARBERG,BERN,1
2,716 4,,8,-,3.0,692,24,1,-,14,320,354,48,9,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,302 BARGEN (BE),BERN,1
3,2153 25,,22,,35.0,1998,154,1,-,82,916,1141,141,37,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,303 GROSSAFFOLTERN,BERN,1
4,1108 11,,5,,3.0,1073,42,-,-,12,460,587,74,6,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,304 KALLNACH,BERN,1
5,823 14,,14,1,4.0,792,55,1,-,8,366,427,49,14,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,305 KAPPELEN,BERN,1
6,7364 191,,618,8,542.0,6578,1731,4,-,410,3783,4308,383,249,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,306 LYSS,BERN,1
7,1795 30,,22,1,63.0,1572,211,-,1,127,862,954,64,31,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,307 MEIKIRCH,BERN,1
8,233 1,,-,-,,227,1,-,1,5,97,120,16,1,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,308 NIEDERRIED B.KALLN.,BERN,1
9,963 12,,4,-,10.0,910,39,1,-,39,447,457,67,18,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,309 RADELFINGEN,BERN,1
10,1642 33,,22,,21.0,1544,106,1,3,64,759,837,106,16,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,310 RAPPERSWIL (BE),BERN,1
11,2140 24,,35,,70.0,2011,164,5,4,85,953,1121,157,38,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,311 SCHUEPFEN,BERN,1
12,2521 31,,12,1,33.0,2391,104,1,1,101,1213,1102,230,53,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,312 SEEDORF (BE),BERN,1
13,34693 276,,1658,30,1203.0,31177,5049,37,9,1588,16031,18644,2462,723,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,AARWANGEN,BERN,1
