,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,can_lang_ge,can_lang_fr,can_lang_it,can_lang_rae,can_lang_other,can_rel_prot,can_rel_romkath,can_rel_chrkath,can_rel_jew,can_rel_other,can_civil_sgl,can_civil_mar,can_civil_wid,can_civil_div,mun_name,can_name,district
0,126,-,6,-,-,104.0,28,,-,-,43,72,14,,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1601 BETSCHWANDEN,GLARUS,1
1,1208,4,155,6,192,726.0,669,1,-,169,701,767,64,3.0,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1602 BILTEN,GLARUS,1
2,418,4,9,2,51,328.0,132,1,-,23,245,210,22,,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1603 BRAUNWALD,GLARUS,1
3,206,2,24,-,64,148.0,80,,1,67,129,145,19,,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1604 DIESBACH (GL),GLARUS,1
4,767,-,3,4,11,724.0,45,,-,16,363,346,67,,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1605 ELM,GLARUS,1
5,609,-,37,2,24,536.0,112,,,24,257,335,67,1.0,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1606 ENGI,GLARUS,1
6,2169,9,215,8,111,1699.0,744,,-,69,987,1226,240,5.0,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1607 ENNENDA,GLARUS,1
7,360,-,38,-,50,299.0,96,,-,53,195,223,19,1.0,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1608 FILZBACH,GLARUS,1
8,5175,39,438,19,298,3326.0,2432,5,-,206,2537,2837,457,13.0,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1609 GLARUS,GLARUS,1
9,420,-,25,-,44,304.0,146,,-,39,173,257,46,1.0,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1610 HASLEN,GLARUS,1
10,319,-,41,3,59,218.0,148,,,56,184,198,26,1.0,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1611 HAETZINGFN,GLARUS,1
11,120,-,-,1,6,93.0,27,,-,7,47,66,12,,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1612 LEUGGELBACH,GLARUS,1
12,1107,-,153,1,160,785.0,474,,-,162,639,643,113,2.0,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1613 LINTHAL,GLARUS,1
13,407,3,165,7,24,273.0,311,,-,22,217,325,56,,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1614 LUCHSINGEN,GLARUS,1
14,358,1,17,-,8,325.0,46,,-,13,156,201,21,,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1615 MATT,GLARUS,1
15,744,3,109,1,124,573.0,332,,,76,395,512,58,1.0,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1616 MITLOEDI,GLARUS,1
16,2350,10,161,7,93,1648.0,851,1,-,121,1106,1290,159,6.0,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1617 MOLLIS,GLARUS,1
17,368,3,34,3,52,287.0,158,,-,15,178,248,23,1.0,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1618 MUEHLEHORN,GLARUS,1
18,3280,10,329,17,130,518.0,3142,1,1,104,1673,1791,238,6.0,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1619 NAEFELS,GLARUS,1
19,2103,8,368,9,154,1266.0,1263,1,1,111,1016,1361,209,5.0,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1620 NETSTAL,GLARUS,1
20,218,2,5,1,8,167.0,56,,,11,71,136,21,,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1621 NIDFURN,GLARUS,1
21,2656,20,535,18,209,1593.0,1634,1,-,210,1360,1761,251,6.0,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1622 NIEDERURNEN,GLARUS,1
22,1363,3,289,8,61,355.0,1286,-,-,83,763,851,81,2.0,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1623 OBERURNEN,GLARUS,1
23,353,1,2,-,10,310.0,42,-,,14,161,179,24,,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1624 OBSTALDEN,GLARUS,1
24,498,-,86,3,71,283.0,317,-,,58,270,348,30,1.0,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1625 RIEDERN,GLARUS,1
25,242,-,116,1,114,151.0,251,-,,71,199,234,33,,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1626 RUETI COL),GLARUS,1
26,2120,12,308,7,72,1540.0,864,,-,115,928,1256,283,5.0,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1627 SCHWANDEN (GL),GLARUS,1
27,269,4,2,-,. 1,222.0,50,-,-,4,85,157,28,,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1628 SCHWAENDI,GLARUS,1
28,242,-,3,1,2,1.92,50,,-,6,92,131,20,,30575,138,3673,129,2203,18993,15786,11,3,1925,15170,18106,2701,74,1629 SOOL,GLARUS,1
