,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,can_lang_ge,can_lang_fr,can_lang_it,can_lang_rae,can_lang_other,can_rel_prot,can_rel_romkath,can_rel_chrkath,can_rel_jew,can_rel_other,can_civil_sgl,can_civil_mar,can_civil_wid,can_civil_div,mun_name,can_name,district
0,3524.0,38,386,3152,177,1788,5285,2,,202,3349,3376,471,81,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,BEZIRK ALBULA,GRAUBUENDEN,1
1,1617.0,19,80,942,97,608,2059,1 -,,87,1338,1224,147,46,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,KREIS ALVASCHEIN,GRAUBUENDEN,1
2,73.0,,5,71,-,16,126,- -,,7,73,53,21,2,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3501 ALVASCHEIN,GRAUBUENDEN,1
3,14.0,,-,52,-,5,61,- -,,-,34,26,6,-,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3502 MON,GRAUBUENDEN,1
4,81.0,,-,2,-,75,4,- -,,4,35,39,8,1,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3503 MUTTEN,GRAUBUENDEN,1
5,14.0,,-,99,-,3,109,-,,1,56,45,11,1,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3504 STIERVA,GRAUBUENDEN,1
6,138.0,3,9,124,3,59,213,- -,,5,122,140,10,5,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3505 TIEFENCASTEL,GRAUBUENDEN,1
7,1297.0,16,66,594,94,450,1546,1 -,,70,1018,921,91,37,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3506 VAZ/OBERVAZ,GRAUBUENDEN,1
8,659.0,2,59,531,5,104,1128,1 -,,23,577,566,105,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,KREIS BELFORT,GRAUBUENDEN,1
9,189.0,1,30,157,2,24,353,- -,,2,176,174,24,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3511 ALVANEU,GRAUBUENDEN,1
10,26.0,1,1,67,-,2,92,- -,,1,46,40,9,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3512 BRIENZ (GR),GRAUBUENDEN,1
11,133.0,-,16,230,3,37,335,1 -,,9,186,160,34,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3513 LANTSCH/LENZ,GRAUBUENDEN,1
12,195.0,-,2,11,-,16,186,- -,,6,83,104,21,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3514 SCHNITTEN (GR),GRAUBUENDEN,1
13,116.0,-,10,66,-,25,162,- -,,5,86,88,17,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3515 SURAVA,GRAUBUENDEN,1
14,803.0,10,72,185,24,819,238,- -,,37,434,568,77,1,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,KREIS BERGUEN,GRAUBUENDEN,1
15,251.0,7,40,158,3,324,118,-  -,,17,175,242,35,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3521 BERGUEN/BRAVU006,GRAUBUENDEN,1
16,339.0,3,31,20,17,307,88,- -,,15,177,200,27,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3522 FILISUR,GRAUBUENDEN,1
17,213.0,-,1,7,4,188,32,- -,,5,82,126,15,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3523 WIESEN (GR),GRAUBUENDEN,1
18,445.0,7,175,1494,51,257,1860,- -,,55,1000,1018,142,1,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,KREIS OBERHALBSTEIN,GRAUBUENDEN,1
19,88.0,1,100,44,5,130,102,- -,,6,118,101,18,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3531 BIVIO,GRAUBUENDEN,1
20,27.0,-,8,105,1,7,125,- -,,9,64,67,7,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3532 CUNTER,GRAUBUENDEN,1
21,14.0,-,1,11,1,2,25,- -,,,8,16,3,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3533 MARMORERA,GRAUBUENDEN,1
22,4.0,-,-,46,-,2,48,-,,,19,26,5,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3534 MULEGNS,GRAUBUENDEN,1
23,25.0,-,9,229,-,7,249,,,7,126,112,23,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3536 RIOM—PARSONZ,GRAUBUENDEN,1
24,2.0,-,2,25,-,-,28,,,1,8,18,3,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3537 RONA,GRAUBUENDEN,1
25,13.0,-,4,139,1,4,153,,,,76,64,16,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3538 SALOUF,GRAUBUENDEN,1
26,212.0,5,42,56'2,31,82,752,,,18,402,417,29,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3539 SAVOGNIN,GRAUBUENDEN,1
27,5.0,-,4,94,9,-,101,,,11,51,51,10,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3540 SUR,GRAUBUENDEN,1
