,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,mun_name,can_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,16749,22,96,2,119,996,15772,-,-,220,9267,6718,931,7.0,ENTLEBUCH,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
1,473,-,,,,10,460,-,-,3,268,185,19,,1001 DOPPLESCHWAND,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
2,3149,7,34,1,47,164,3009,-,-,65,1735,1323,171,,1002 ENTLEBUCH,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
3,3013,4,,,16,270,2710,-,-,53,1621,1210,188,1.0,1003 ESCHOLZMATT,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
4,1380,1,2,,12,66,1310,-,-,19,762,556,71,,1004 FLUEHLI,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
5,1516,1,12,,9,51,1481,-,-,6,829,623,79,,1005 HASLE (LU),LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
6,1155,-,3,-,2,160,994,-,,6,639,451,67,,1006 MARBACH (LU),LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
7,726,-,,,1,26,699,-,-,2,412,279,34,,1007 ROMOOS,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
8,3506,4,8,1,18,118,3386,-,-,33,2002,1321,195,1.0,1008 SCHUEPFHEIM,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
9,1831,5,37,-,14,131,1723,-,-,33,999,770,107,1.0,1009 WERTHENSTEIH,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
10,42867,266,2174,60,2347,5134,40752,70,16,1742,23120,21624,2224,74.0,HOCHDORF,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
11,655,8,2,,11,62,594,-,-,20,342,297,34,,1021 AESCH (LU),LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
12,304,-,,,5,14,290,-,-,5,171,121,13,,1022 ALTWIS,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
13,1475,2,42,3,30,85,1428,-,-,39,803,668,70,1.0,1023 BALLWIL,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
14,19032,165,1446,29,1720,3474,17722,53,14,1129,9712,11042,1121,51.0,1024 EMMEN,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
15,538,1,6,,7,14,521,1,-,16,271,246,29,,1025 ERMENSEE,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
16,2210,15,36,7,53,141,2131,4,-,45,1207,1007,86,2.0,1026 ESCHENBACH (LU),LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
17,481,6,2,,12,23,471,-,-,7,267,200,29,,1027 GELFINGEN,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
18,306,2,,,,4,298,-,-,6,176,116,15,,1028 HAEMIKON,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
19,185,-,,-,-,13,157,-,-,15,105,74,5,,1029 HERLISBERG,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
20,1500,2,61,3,82,98,1463,5,-,82,865,700,66,1.0,1030 HITZKIRCH,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
21,5323,32,432,9,238,473,5379,3,1,178,3129,2510,321,7.0,1031 HOCHDORF,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
22,1911,3,8,2,5,51,1867,-,-,11,1229,614,73,1.0,1032 HOHENRAIN,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
23,1337,4,12,1,21,68,1283,-,-,24,725,585,52,1.0,1033 INWIL,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
24,139,-,1,,2,2,135,-,-,5,75,59,7,,1034 LIELI,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
25,133,1,,-,2,18,113,-,-,5,67,59,10,,)035 MOSEN,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
26,215,1,1,-,-,12,202,-,-,3,114,90,11,,1036 MUESWANGEN,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
27,1221,1,3,-,3,70,1145,1,-,12,636,527,57,,1037 RAIN,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
28,121,-,-,,-,4,114,-,-,3,63,52,6,,1038 RETSCHWIL,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
29,1031,3,11,2,6,39,994,-,-,20,581,427,40,,1039 ROEMERSWIL,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
30,3922,19,108,4,149,443,3650,3,1,105,2134,1894,131,4.0,1040 ROTHENBURG,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
