,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,can_lang_ge,can_lang_fr,can_lang_it,can_lang_rae,can_lang_other,can_rel_prot,can_rel_romkath,can_rel_chrkath,can_rel_jew,can_rel_other,can_civil_sgl,can_civil_mar,can_civil_wid,can_civil_div,mun_name,can_name,district
0,2017,8,21,2,72,128,1917,-,-,75,1007,978,114,21,26784,184,711,68,870,3153,24638,24,25,777,13924,12920,1306,467,1501 BECKENRIED,NIDWALDEN,1
1,3454,17,119,14,138,480,3185,3,1,73,1737,1799,143,63,26784,184,711,68,870,3153,24638,24,25,777,13924,12920,1306,467,1502 BUOCHS,NIDWALDEN,1
2,1110,-,7,7,18,35,1089,-,-,18,612,472,52,6,26784,184,711,68,870,3153,24638,24,25,777,13924,12920,1306,467,1503 DALLENWIL,NIDWALDEN,1
3,698,3,8,-,6,33,620,-,-,62,391,281,38,5,26784,184,711,68,870,3153,24638,24,25,777,13924,12920,1306,467,1504 EMMETTEN,NIDWALDEN,1
4,2545,19,55,6,91,344,2285,1,3,83,1277,1286,115,38,26784,184,711,68,870,3153,24638,24,25,777,13924,12920,1306,467,1505 ENNETBUERGEN,NIDWALDEN,1
5,1250,2,19,1,75,93,1217,-,-,37,732,562,32,21,26784,184,711,68,870,3153,24638,24,25,777,13924,12920,1306,467,1506 ENNETMOOS,NIDWALDEN,1
6,3885,55,167,8,139,723,3351,11,10,159,1844,2048,235,127,26784,184,711,68,870,3153,24638,24,25,777,13924,12920,1306,467,1507 HERGISWIL (NW),NIDWALDEN,1
7,2211,5,22,5,29,179,2072,1,-,20,1220,966,72,14,26784,184,711,68,870,3153,24638,24,25,777,13924,12920,1306,467,1508 OBERDORF (NW),NIDWALDEN,1
8,5344,29,167,10,131,541,5035,4,3,98,2881,2384,336,80,26784,184,711,68,870,3153,24638,24,25,777,13924,12920,1306,467,1509 STANS,NIDWALDEN,1
9,2808,41,122,14,119,552,2439,4,6,103,1412,1496,110,86,26784,184,711,68,870,3153,24638,24,25,777,13924,12920,1306,467,1510 STANSSTAD,NIDWALDEN,1
10,1462,5,4,1,52,45,1428,-,2,49,811,648,59,6,26784,184,711,68,870,3153,24638,24,25,777,13924,12920,1306,467,1511 WOLFENSCHIESSEN,NIDWALDEN,1
