,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,can_lang_ge,can_lang_fr,can_lang_it,can_lang_rae,can_lang_other,can_rel_prot,can_rel_romkath,can_rel_chrkath,can_rel_jew,can_rel_other,can_civil_sgl,can_civil_mar,can_civil_wid,can_civil_div,mun_name,can_name,district
0,3088,24,89,2,69,2634,474,1,—,163,1404,1571,216,8.0,59243,517,4316,116,5191,42021,19253,130,29,7980,27964,34261,4751,243,OBERKLETTGAU,SCHAFFHAUSEN,1
1,681,2,11,1,22,602,76,—,—,39,323,307,55,3.0,59243,517,4316,116,5191,42021,19253,130,29,7980,27964,34261,4751,243,2901 GAECHLINGEN,SCHAFFHAUSEN,1
2,214,—,1,—,—,195,13,—,—,7,94,109,9,,59243,517,4316,116,5191,42021,19253,130,29,7980,27964,34261,4751,243,2902 GUNTMADINGEN,SCHAFFHAUSEN,1
3,708,10,16,1,13,589,111,—,—,48,313,373,47,1.0,59243,517,4316,116,5191,42021,19253,130,29,7980,27964,34261,4751,243,2903 LDEHNINGEN,SCHAFFHAUSEN,1
4,1234,12,61,—,26,1020,253,1,—,59,548,678,79,2.0,59243,517,4316,116,5191,42021,19253,130,29,7980,27964,34261,4751,243,2904 NEUNKIRCH,SCHAFFHAUSEN,1
5,251,—,—,—,8,228,21,—,—,10,126,104,26,,59243,517,4316,116,5191,42021,19253,130,29,7980,27964,34261,4751,243,2905 OSTERFINGEN,SCHAFFHAUSEN,1
6,5476,32,350,14,165,4245,1375,5,1,411,2521,3078,330,10.0,59243,517,4316,116,5191,42021,19253,130,29,7980,27964,34261,4751,243,REIAT,SCHAFFHAUSEN,1
7,145,—,—,—,—,129,7,—,—,9,65,68,11,,59243,517,4316,116,5191,42021,19253,130,29,7980,27964,34261,4751,243,2911 ALTDORF (SH),SCHAFFHAUSEN,1
8,167,—,—,—,—,155,6,—,—,6,73,83,10,,59243,517,4316,116,5191,42021,19253,130,29,7980,27964,34261,4751,243,2912 BAR7_HEIM,SCHAFFHAUSEN,1
9,244,1,3,1,2,205,31,1,—,14,104,140,6,,59243,517,4316,116,5191,42021,19253,130,29,7980,27964,34261,4751,243,2913 BIBERN (5H),SCHAFFHAUSEN,1
10,168,—,1,—,1,147,16,—,—,7,73,86,7,,59243,517,4316,116,5191,42021,19253,130,29,7980,27964,34261,4751,243,2914 BUETTENHARDT,SCHAFFHAUSEN,1
11,487,2,—,1,2,409,46,—,—,37,217,238,25,1.0,59243,517,4316,116,5191,42021,19253,130,29,7980,27964,34261,4751,243,2915 DOERFLINGEN,SCHAFFHAUSEN,1
12,107,—,1,—,—,88,16,—,—,4,44,52,11,,59243,517,4316,116,5191,42021,19253,130,29,7980,27964,34261,4751,243,2916 HOFEN,SCHAFFHAUSEN,1
13,364,2,24,2,8,294,87,—,—,19,169,197,26,,59243,517,4316,116,5191,42021,19253,130,29,7980,27964,34261,4751,243,2917 LOHN (5H),SCHAFFHAUSEN,1
14,114,—,1,—,—,108,5,—,—,2,52,53,8,,59243,517,4316,116,5191,42021,19253,130,29,7980,27964,34261,4751,243,2918 OPFERTSHOFEN (SH),SCHAFFHAUSEN,1
15,423,1,6,—,8,335,78,—,—,25,202,208,23,,59243,517,4316,116,5191,42021,19253,130,29,7980,27964,34261,4751,243,2919 STETTEN (5H),SCHAFFHAUSEN,1
16,3257,26,314,10,144,2375,1083,4,1,288,1522,1953,203,7.0,59243,517,4316,116,5191,42021,19253,130,29,7980,27964,34261,4751,243,2920 THAYNGEN,SCHAFFHAUSEN,1
17,40889,403,3650,115,4618,27606,15219,112,22,6716,19569,24583,3486,203.0,59243,517,4316,116,5191,42021,19253,130,29,7980,27964,34261,4751,243,SCHAFFHAUSEN,SCHAFFHAUSEN,1
18,234,1,1,—,1,188,36,1,—,12,101,118,11,,59243,517,4316,116,5191,42021,19253,130,29,7980,27964,34261,4751,243,2931 BARGEN (5H),SCHAFFHAUSEN,1
19,2220,16,110,1,95,1680,521,1,—,240,991,1216,162,7.0,59243,517,4316,116,5191,42021,19253,130,29,7980,27964,34261,4751,243,2932 BERINGEN,SCHAFFHAUSEN,1
20,607,5,8,—,16,525,71,1,1,38,279,311,34,1.0,59243,517,4316,116,5191,42021,19253,130,29,7980,27964,34261,4751,243,2933 BUCHBERG,SCHAFFHAUSEN,1
21,432,1,3,1,6,365,40,—,—,38,185,225,25,,59243,517,4316,116,5191,42021,19253,130,29,7980,27964,34261,4751,243,2934 HEMMENTAL,SCHAFFHAUSEN,1
