,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,mun_name,can_name,1,2,3,4,5,6,7,8,9,10,11,12,13
0,9086,37,272,25,209,470,8962,3,1,193,4873,4062,573,121,EINSIEDELN,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
1,9086,37,272,25,209,470,8962,3,1,193,4873,4062,573,121,1301 EINSIEDELN,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
2,1525,4,102,2,69,84,1570,,,48,810,732,144,16,GERSAU,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
3,1525,4,102,2,69,84,1570,—,,48,810,732,144,16,1311 GERSAU,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
4,14924,88,764,51,792,3660,12057,14,20,868,7642,7817,687,473,HOFFE,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
5,2678,7,26,18,100,505,2209,1,1,113,1334,1318,120,57,1321 FEUSISBERG,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
6,8684,58,627,26,517,2165,7193,9,5,540,4572,4658,385,297,1322 FREI ENBACH,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
7,3562,23,111,7,175,990,2655,4,14,215,1736,1841,182,119,1323 WOLLERAU,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
8,7264,40,440,13,334,778,7006,11,7,289,3879,3688,403,121,KUESSNACHT,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
9,7264,40,440,13,334,778,7006,11,7,289,3879,3688,403,121,1331 KUESSNACHT AM RIGI,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
10,20546,82,1622,66,926,2587,19725,7,3,920,10883,10733,1190,436,MARCH,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
11,2698,8,97,7,77,405,2363,—,1,118,1393,1324,120,50,1341 ALTENDORF,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
12,2662,14,116,6,108,283,2528,1,—,94,1367,1336,149,54,1342 GAL GENEN,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
13,155,—,—,—,1,5,150,—,—,1,81,64,9,2,1343 INNERTHAL,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
14,4461,25,561,18,287,754,4331,2,—,265,2331,2555,317,149,1344 LACHEN,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
15,1672,10,55,4,39,207,1541,1,—,31,869,795,94,22,1345 REICHENBURG,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
16,3866,16,553,25,260,594,3883,—,2,241,2265,2120,231,104,1346 SCHUEBELBACH,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
17,1642,3,130,5,74,92,1710,—,—,52,887,867,78,22,1347 TUGGEN,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
18,780,—,2,1,3,20,753,—,,13,398,344,38,6,1348 VORDERTHAL,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
19,2610,6,108,—,77,227,2466,3,,105,1292,1328,154,27,1349 WANGEN (SZ),SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
20,35289,128,1493,118,1043,2149,34965,9,8,940,19512,16078,2077,404,SCHWYZ,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
21,310,—,—,2,—,1,308,—,—,3,170,128,14,—,1361 ALPTHAL,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
22,7096,26,413,21,239,741,6759,4,—,291,3624,3550,475,146,1362 ARTH,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
23,512,—,—,1,1,3,506,—,—,5,304,193,17,—,1363 ILLGAU,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
24,5558,45,344,34,251,510,5561,3,3,155,3224,2559,366,83,1364 INGENBOHL,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
25,593,2,2,—,3,35,556,—,—,9,311,261,26,2,1365 LAUERZ,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
26,616,5,1,2,8,35,580,—,—,17,351,251,26,4,1366 MORSCHACH,SCHWYZ,379,4693,275,3373,9728,84285,44,39,3258,47599,43110,5074,1571
