,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,can_lang_ge,can_lang_fr,can_lang_it,can_lang_rae,can_lang_other,can_rel_prot,can_rel_romkath,can_rel_chrkath,can_rel_jew,can_rel_other,can_civil_sgl,can_civil_mar,can_civil_wid,can_civil_div,mun_name,can_name,district
0,11619,61,493,8,559,2867,9153,47,—,673,5732,6057,729,222.0,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,BALSTHAL—GAEU,SOLOTHURN,1
1,2035,8,55,2,52,561,1540,6,—,45,994,939,157,6.0,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2401 EGERKINGEN,SOLOTHURN,1
2,780,3,29,2,23,152,658,1,,26,402,376,40,1.0,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2402 HAERKINGEN,SOLOTHURN,1
3,1186,2,40,—,19,119,1095,1,,32,583,590,64,10.0,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2403 KESTENHOLZ,SOLOTHURN,1
4,1149,6,25,1,20,187,983,6,—,25,589,537,57,1.0,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2404 NEUENDORF,SOLOTHURN,1
5,652,1,2,1,6,61,586,2,—,13,327,297,29,,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2405 NIEDERBUCHSITEN,SOLOTHURN,1
6,1228,11,122,—,60,273,1049,6,—,93,623,699,84,1.0,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2406 OBERBUCHSITEN,SOLOTHURN,1
7,2955,29,193,2,364,1249,1866,22,—,406,1500,1793,184,6.0,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2407 OENSINGEN,SOLOTHURN,1
8,1634,1,27,—,15,265,1376,3,—,33,714,826,114,2.0,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2408 WOLFWIL,SOLOTHURN,1
9,11647,126,530,18,452,2418,9846,29,—,480,5554,6242,834,14.0,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,BALSTHAL—TAL,SOLOTHURN,1
10,449,—,2,2,8,62,396,—,—,3,232,204,25,,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2421 AEDERMANNSDORF,SOLOTHURN,1
