,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,mun_name,can_name,1,2,3,4,5,6,7,8,9,10,11,12,13
0,73187,583,5505,335,5334,32399,46173,236,178,5958,39019,36869,5435,3621,ST.GALLEN,ST.GALLEN,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126
1,767,3,—,4,13,108,661,1,—,17,407,343,33,4,3201 HAEGGENSCHWIL,ST.GALLEN,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126
2,835,—,5,—,7,165,667,—,—,15,449,358,34,6,3202 MUOLEN,ST.GALLEN,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126
3,64723,534,5270,311,5009,29190,40738,224,167,5528,34680,32671,5108,3388,3203 ST.GALLEN,ST.GALLEN,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126
4,6862,46,230,20,305,2936,4107,11,11,398,3483,3497,260,223,3204 WITTENBACH,ST.GALLEN,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126
5,27065,128,2298,106,1882,10215,19461,31,2,1770,13749,15004,1748,978,RORSCHACH,ST.GALLEN,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126
6,614,—,5,6,23,234,380,—,—,34,331,289,19,9,3211 BERG (SG),ST.GALLEN,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126
7,1674,11,6,8,42,530,1101,3,—,107,812,818,86,25,3212 EGGERSRIET,ST.GALLEN,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126
8,7057,31,560,18,274,2648,4890,2,—,400,3369,3859,450,262,3213 GOLDACH,ST.GALLEN,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126
9,1962,11,32,8,47,455,1544,—,—,61,1025,913,89,33,3214 MOERSCHWIL,ST.GALLEN,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126
10,7455,48,1295,38,1042,3091,6128,18,2,639,4247,4572,680,379,3215 RORSCHACH,ST.GALLEN,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126
11,4760,14,246,13,261,2050,2902,6,—,336,2213,2685,220,176,3216 RORSCHACHERBERG,ST.GALLEN,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126
12,2201,8,122,11,171,841,1510,2,—,160,1054,1261,131,67,3217 STEINACH,ST.GALLEN,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126
13,793,4,28,1,19,232,590,—,—,23,403,379,40,23,3218 TUEBACH,ST.GALLEN,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126
