,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,can_lang_ge,can_lang_fr,can_lang_it,can_lang_rae,can_lang_other,can_rel_prot,can_rel_romkath,can_rel_chrkath,can_rel_jew,can_rel_other,can_civil_sgl,can_civil_mar,can_civil_wid,can_civil_div,mun_name,can_name,district
0,26597.0,175,2463,103,1909,15762,13449,33,1,2002,12963,15341,2099,844,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,BEZIRK ARBON,THURGAU,1
1,9815.0,89,1378,50,1001,5353,5950,9,1.,1020,4877,6201,873,382,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,ARBON,THURGAU,1
2,8899.0,87,1325,46,976,4763,5595,5,1,969,4443,5696,834,360,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4401 ARBON,THURGAU,1
3,916.0,2,53,4,25,590,355,4,—,51,434,505,39,22,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4402 FRASNACHT,THURGAU,1
4,352.0,4,8,—,2,205,150,5,,6,180,168,13,5,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4406 DOZWIL,THURGAU,1
5,31.81,10,114,3,89,2225,1059,3,—,110,1515,1618,204,60,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4411 EGNACH,THURGAU,1
6,665.0,1,37,,8,469,212,—,—,30,304,354,40,13,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4416 HEFENHOFEN,THURGAU,1
7,1639.0,9,117,12,132,803,979,1,—,126,786,922,138,63,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4421 HORN,THURGAU,1
8,518.0,—,51,,27,364,202,—,—,30,264,284,31,17,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4426 KESSWIL,THURGAU,1
9,1476.0,5,14,1,42,977,495,3,—,63,661,751,90,36,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4431 ROGGWIL (TG),THURGAU,1
10,6747.0,43,606,24,473,4068,3361,12,—,452,3252,3877,557,207,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4436 ROMANSHORN,THURGAU,1
11,965.0,6,77,9,102,630,415,—,—,114,493,571,62,33,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4441 SALMSACH,THURGAU,1
12,448.0,1,12,2,6,130,330,—,—,9,273,163,29,4,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4446 SOMMERI,THURGAU,1
13,791.0,7,49,2,27,538,296,—,—,42,358,432,62,24,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4451 UTTWIL,THURGAU,1
14,20305.0,93,1878,55,1392,12362,10016,5,—,1340,10236,11406,1495,586,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,BEZIRK BISCHOFSZELL,THURGAU,1
15,7103.0,32,928,25,702,4286,3886,2,—,616,3719,4218,580,273,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4461 AMRISWIL,THURGAU,1
16,3359.0,23,314,12,282,1700,2091,1,,198,1640,2012,270,68,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4471 BISCHOFSZELL,THURGAU,1
17,1706.0,7,190,9,71,1172,711,—,—,100,888,949,103,43,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,ERLEN,THURGAU,1
18,132.0,—,—,—,—,66,62,—,—,4,56,68,7,1,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4476 BUCHACKERN,THURGAU,1
19,183.0,—,1,1,,149,33,—,—,3,87,94,3,1,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4477 ENGISHOFEN,THURGAU,1
20,322.0,1,87,1,41,204,204,—,,44,210,216,12,14,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4478 ENNETAACH,THURGAU,1
21,861.0,5,101,4,23,578,387,—,—,29,438,468,67,21,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4479 ERLEN,THURGAU,1
