,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,can_lang_ge,can_lang_fr,can_lang_it,can_lang_rae,can_lang_other,can_rel_prot,can_rel_romkath,can_rel_chrkath,can_rel_jew,can_rel_other,can_civil_sgl,can_civil_mar,can_civil_wid,can_civil_div,mun_name,can_name,district
0,7394,31,457,21,327,686,7189,6,—,349,3838,3829,444,11.0,31598,96,1123,113,953,2009,30843,10,5,1016,16610,15279,1666,32,1201 ALTDORF (UR),URI,1
1,1287,2,33,30.,23,159,1192,—,—,24,593,697,69,1.0,31598,96,1123,113,953,2009,30843,10,5,1016,16610,15279,1666,32,1202 ANDERMATT,URI,1
2,1176,1,8,1,11,34,1141,1,5,16,612,530,49,,31598,96,1123,113,953,2009,30843,10,5,1016,16610,15279,1666,32,1203 ATTINGHAUSEN,URI,1
3,164,1,5,—,4,5,167,,,2,75,92,6,,31598,96,1123,113,953,2009,30843,10,5,1016,16610,15279,1666,32,1204 BAUEN,URI,1
4,3323,8,55,4,66,64,3313,—,—,79,1850,1439,148,1.0,31598,96,1123,113,953,2009,30843,10,5,1016,16610,15279,1666,32,1205 BUERGLEN (UR),URI,1
5,3821,12,181,13,131,476,3522,—,—,160,1865,2008,232,5.0,31598,96,1123,113,953,2009,30843,10,5,1016,16610,15279,1666,32,1206 ERSTFELD,URI,1
6,1546,8,68,5,45,87,1544,2,,39,824,703,126,1.0,31598,96,1123,113,953,2009,30843,10,5,1016,16610,15279,1666,32,1207 FLUELEN,URI,1
7,641,2,32,5,28,30,664,—,,14,325,346,34,,31598,96,1123,113,953,2009,30843,10,5,1016,16610,15279,1666,32,1208 GOESCHENEN,URI,1
8,794,1,6,1,11,16,776,—,—,21,431,328,48,,31598,96,1123,113,953,2009,30843,10,5,1016,16610,15279,1666,32,1209 GURTNELLEN,URI,1
9,228,1,2,10,1,4,231,—,—,7,105,117,14,,31598,96,1123,113,953,2009,30843,10,5,1016,16610,15279,1666,32,1210 HOSPENTAL,URI,1
10,534,1,,—,,1,528,—,—,6,327,178,29,,31598,96,1123,113,953,2009,30843,10,5,1016,16610,15279,1666,32,1211 ISENTHAL,URI,1
11,208,—,54,,46,3,297,—,—,8,133,162,11,,31598,96,1123,113,953,2009,30843,10,5,1016,16610,15279,1666,32,1212 REALP,URI,1
12,4198,18,118,10,172,283,4059,—,—,174,2197,2138,142,3.0,31598,96,1123,113,953,2009,30843,10,5,1016,16610,15279,1666,32,1213 SCHATTDORF,URI,1
13,1199,2,50,3,17,64,1169,—,—,38,659,554,51,,31598,96,1123,113,953,2009,30843,10,5,1016,16610,15279,1666,32,1214 SEEDORF (UR),URI,1
14,526,4,1,1,1,20,509,—,—,4,288,211,28,,31598,96,1123,113,953,2009,30843,10,5,1016,16610,15279,1666,32,1215 SEELISBERG,URI,1
15,2065,1,22,5,22,40,2040,—,—,35,1083,903,118,1.0,31598,96,1123,113,953,2009,30843,10,5,1016,16610,15279,1666,32,1216 SILENEN,URI,1
16,306,—,4,,4,10,296,1,—,7,147,146,12,,31598,96,1123,113,953,2009,30843,10,5,1016,16610,15279,1666,32,1217 SISIKON,URI,1
17,942,—,—,—,1,5,937,—,—,1,558,337,48,,31598,96,1123,113,953,2009,30843,10,5,1016,16610,15279,1666,32,1218 SPIRINGEN,URI,1
18,652,—,,,—,4,645,—,—,3,382,246,23,,31598,96,1123,113,953,2009,30843,10,5,1016,16610,15279,1666,32,1219 UNTERSCHAECHEN,URI,1
19,594,3,27,4,43,18,624,—,—,29,318,315,34,,31598,96,1123,113,953,2009,30843,10,5,1016,16610,15279,1666,32,1220 WASSEN,URI,1
