,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,can_lang_ge,can_lang_fr,can_lang_it,can_lang_rae,can_lang_other,can_rel_prot,can_rel_romkath,can_rel_chrkath,can_rel_jew,can_rel_other,can_civil_sgl,can_civil_mar,can_civil_wid,can_civil_div,mun_name,can_name,district
0,18389,334,693,25,183,876,18494,1,1,252,9771,8770,890,193,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,BRIG,VALAIS,1
1,180,1,—,—,—,—,170,,,11,97,74,9,1,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6001 BIRGISCH,VALAIS,1
2,8935,225,326,12,110,525,8919,1,1,162,4882,4141,464,121,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6002 BRIG—GLIS,VALAIS,1
3,350,3,1,—,1,6,348,,,1,194,141,19,1,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6004 EGGERBERG,VALAIS,1
4,617,—,1,—,—,1,616,,,1,342,249,27,—,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6006 MUND,VALAIS,1
5,6161,85,347,11,58,283,6324,,,55,3099,3218,281,64,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6007 NATERS,VALAIS,1
6,1143,10,3,1,11,26,1129,,,13,601,530,33,4,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6008 RIED BEI BRIG,VALAIS,1
7,316,5,3,1,3,—,321,,,7,201,104,23,—,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6009 SIMPLON,VALAIS,1
8,531,1,1,—,—,22,509,,,2,271,231,29,2,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6010 TERMEN,VALAIS,1
9,156,4,11,—,—,13,158,,,,84,82,5,—,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6011 ZWISCHBERGEN,VALAIS,1
10,374,14021,466,13,327,417,14519,,,265,6595,7533,876,197,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,CONTHEY,VALAIS,1
11,43,1404,95,1,93,53,1530,,,53,664,848,99,25,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6021 ARDON,VALAIS,1
12,31,1976,25,3,59,31,2042,,,21,913,1013,155,13,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6022 CHAMOSON,VALAIS,1
13,178,4420,140,1,89,179,4553,,,96,2042,2416,292,78,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6023 CONTHEY,VALAIS,1
14,59,4244,37,5,27,79,4241,,,52,1994,2104,225,49,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6024 NENDAZ,VALAIS,1
