,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,can_population,can_male_pop,can_fem_pop,can_swiss_pop,can_swiss_male,can_swiss_fem,can_foreign_pop,can_foreign_male,can_foreign_fem,can_swiss_promille,can_foreign_promille,district
1,001 AARAU,15788,7391,8397,13345,6013,7332,2443,1378,1065,845,155,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
2,002 BIBERSTEIN,889,451,438,850,430,420,39,21,18,956,44,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
3,003 BUCHS (AG),6029,2963,3066,4638,2166,2472,1391,797,594,769,231,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
4,004 DENSBUEREN,596,311,285,582,306,276,14,5,9,977,23,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
5,005 ERLINSBACH,3046,1478,1568,2716,1310,1406,330,168,162,892,108,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
6,006 GRAENICHEN,5246,2620,2626,4711,2329,2382,535,291,244,898,102,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
7,007 HIRSCHTHAL,949,477,472,886,441,445,63,36,27,934,66,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
8,008 KUETTIGEN,4356,2206,2150,3788,1902,1886,568,304,264,870,130,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
9,009 MUHEN,2471,1227,1244,2266,1115,1151,205,112,93,917,83,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
10,010 OBERENTFELDEN,5696,2872,2824,4955,2449,2506,741,423,318,870,130,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
11,011 ROHR (AG),2183,1069,1114,1890,905,985,293,164,129,866,134,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
12,012 SUHR,7366,3382,3984,6330,2831,3499,1036,551,485,859,141,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
13,013 UNTERENTFELDEN,3190,1594,1596,2805,1375,1430,385,219,166,879,121,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
15,021 BADEN,13870,6859,7011,10378,4813,5565,3492,2046,1446,748,252,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
16,022 BELLIKON,905,449,456,810,399,411,95,50,45,895,105,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
17,023 BERGDIETIKON,1693,866,827,1560,782,778,133,84,49,921,79,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
18,024 BIRMENSTORF (AG),1446,768,678,1314,687,627,132,81,51,909,91,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
19,026 ENNETBADEN,2602,1321,1281,1996,952,1044,606,369,237,767,233,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
20,027 FISLISBACH,3860,1942,1918,3311,1635,1676,549,307,242,858,142,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
21,028 FREIENWIL,489,240,249,470,229,241,19,11,8,961,39,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
22,029 GEBENSTORF,3610,1828,1782,2685,1319,1366,925,509,416,744,256,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
23,030 KILLWAHGEN,1041,527,514,904,441,463,137,86,51,868,132,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
24,031 KUENTEN,1114,574,540,1047,539,508,67,35,32,940,60,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
25,032 MAEGEHWIL,943,496,447,897,462,435,46,34,12,951,49,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
26,033 MELLINGEN,3285,1638,1647,2600,1246,1354,685,392,293,791,209,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
27,034 NEUENHOF,7203,3562,3641,4852,2307,2545,2351,1255,1096,674,326,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
28,035 NIEDERROHRDORF,2424,1264,1160,2049,1047,1002,375,217,158,845,155,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
29,036 OBEREHRENDINGEH,1489,768,721,1321,669,652,168,99,69,887,113,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
30,037 DBERROHRDORF,2863,1420,1443,2512,1209,1303,351,211,140,877,123,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
31,038 OBERSIGGENTHAL,7442,3725,3717,5723,2776,2947,1719,949,770,769,231,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
32,039 REMETSCHWIL,796,420,376,711,365,346,85,55,30,893,107,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
33,040 SPREITENBACH,7198,3575,3623,5189,2517,2672,2009,1058,951,721,279,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
34,041 STETTEN (AG),958,476,482,868,423,445,90,53,37,906,94,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
35,042 TURGI,2704,1421,1283,1930,979,951,774,442,332,714,286,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
36,043 UNTEREHRENDINGEN,987,514,473,915,474,441,72,40,32,927,73,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
37,044 UNTERSIGGENTHAL,4597,2334,2263,3729,1847,1882,868,487,381,811,189,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
38,045 WETTINGEN,18377,9022,9355,14673,6928,7745,3704,2094,1610,798,202,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
39,046 WOHLENSCHWIL,839,449,390,778,407,371,61,42,19,927,73,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
40,047 WUERENLINGEN,2831,1479,1352,2401,1212,1189,430,267,163,848,152,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
41,048 WUERENLOS,3203,1626,1577,2964,1473,1491,239,153,86,925,75,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
43,061 ARNI-ISLISBERG,817,406,411,773,381,392,44,25,19,946,54,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
44,062 BERIKON,2314,1175,1139,2073,1034,1039,241,141,100,896,104,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
45,063 BREMGARTEN (AG),4815,2368,2447,3954,1857,2097,861,511,350,821,179,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
46,064 BUETTIKON,500,245,255,485,236,249,15,9,6,970,30,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
47,065 DOTTIKON,2645,1365,1280,1910,971,939,735,394,341,722,278,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
48,066 EGGENWIL,417,213,204,396,202,194,21,11,10,950,50,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
49,067 FISCHBACH-GOESLIKON,633,328,305,603,313,290,30,15,15,953,47,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
50,068 HAEGGLINGEN,1672,838,834,1482,723,759,190,115,75,886,114,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
51,069 HERMETSCHWIL-STAFF.,498,273,225,464,245,219,34,28,6,932,68,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
52,070 HILFIKON,168,94,74,160,90,70,8,4,4,952,48,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
53,071 JONEN,800,404,396,773,387,386,27,17,10,966,34,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
54,072 NIEDERWIL (AG),1631,746,885,1511,682,829,120,64,56,926,74,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
55,073 OBERLUNKHOFEN,723,371,352,690,349,341,33,22,11,954,46,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
56,074 OBERWIL (AG),1191,611,580,1131,566,565,60,45,15,950,50,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
57,075 RUDOLFSTETTEN-F'BERG,3582,1859,1723,3055,1551,1504,527,308,219,853,147,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
58,076 SARMENSTORF,1431,696,735,1323,637,686,108,59,49,925,75,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
59,077 TAEGERIG,859,440,419,827,416,411,32,24,8,963,37,AARGAU,453442,227637,225805,386227,189360,196867,67215,38277,28938,852,148,1
