,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,can_population,can_male_pop,can_fem_pop,can_swiss_pop,can_swiss_male,can_swiss_fem,can_foreign_pop,can_foreign_male,can_foreign_fem,can_swiss_promille,can_foreign_promille,district
1,3001 HERISAU,14160,6898,7262,12111,5791,6320,2049,1107,942,855,145,APPENZELL_A.RH.,47611,23369,24242,41954,20275,21679,5657,3094,2563,881,119,1
2,3002 HUNDWIL,943,471,472,916,457,459,27,14,13,971,29,APPENZELL_A.RH.,47611,23369,24242,41954,20275,21679,5657,3094,2563,881,119,1
3,3003 SCHOENENGRUND,404,202,202,401,200,201,3,2,1,993,7,APPENZELL_A.RH.,47611,23369,24242,41954,20275,21679,5657,3094,2563,881,119,1
4,3004 SCHWELLBRUNN,1142,571,571,1127,562,565,15,9,6,987,13,APPENZELL_A.RH.,47611,23369,24242,41954,20275,21679,5657,3094,2563,881,119,1
5,3005 STEIN (AR),1198,637,561,1139,600,539,59,37,22,951,49,APPENZELL_A.RH.,47611,23369,24242,41954,20275,21679,5657,3094,2563,881,119,1
6,3006 URNAESCH,2258,1117,1141,1972,969,1003,286,148,138,873,127,APPENZELL_A.RH.,47611,23369,24242,41954,20275,21679,5657,3094,2563,881,119,1
7,3007 WALDSTATT,1440,734,706,1281,638,643,159,96,63,890,110,APPENZELL_A.RH.,47611,23369,24242,41954,20275,21679,5657,3094,2563,881,119,1
9,3021 BUEHLER,1640,838,802,1227,613,614,413,225,188,748,252,APPENZELL_A.RH.,47611,23369,24242,41954,20275,21679,5657,3094,2563,881,119,1
10,3022 GAIS,2388,1148,1240,2124,1008,1116,264,140,124,889,111,APPENZELL_A.RH.,47611,23369,24242,41954,20275,21679,5657,3094,2563,881,119,1
11,3023 SPEICHER,3484,1728,1756,3081,1505,1576,403,223,180,884,116,APPENZELL_A.RH.,47611,23369,24242,41954,20275,21679,5657,3094,2563,881,119,1
12,3024 TEUFEN (AR),5027,2405,2622,4539,2144,2395,488,261,227,903,97,APPENZELL_A.RH.,47611,23369,24242,41954,20275,21679,5657,3094,2563,881,119,1
13,3025 TROGEN,1853,933,920,1586,783,803,267,150,117,856,144,APPENZELL_A.RH.,47611,23369,24242,41954,20275,21679,5657,3094,2563,881,119,1
15,3031 GRUB (AR),833,414,419,788,389,399,45,25,20,946,54,APPENZELL_A.RH.,47611,23369,24242,41954,20275,21679,5657,3094,2563,881,119,1
16,3032 HEIDEN,3620,1722,1898,3062,1406,1656,558,316,242,846,154,APPENZELL_A.RH.,47611,23369,24242,41954,20275,21679,5657,3094,2563,881,119,1
17,3033 LUTZENBERG,880,418,462,802,375,427,78,43,35,911,89,APPENZELL_A.RH.,47611,23369,24242,41954,20275,21679,5657,3094,2563,881,119,1
18,3034 REHETOBEL,1416,678,738,1312,624,688,104,54,50,927,73,APPENZELL_A.RH.,47611,23369,24242,41954,20275,21679,5657,3094,2563,881,119,1
19,3035 REUTE (AR),594,287,307,564,272,292,30,15,15,949,51,APPENZELL_A.RH.,47611,23369,24242,41954,20275,21679,5657,3094,2563,881,119,1
20,3036 WALD (AR),695,354,341,650,325,325,45,29,16,935,65,APPENZELL_A.RH.,47611,23369,24242,41954,20275,21679,5657,3094,2563,881,119,1
21,3037 WALZENHAUSEN,2004,1011,993,1782,890,892,222,121,101,889,111,APPENZELL_A.RH.,47611,23369,24242,41954,20275,21679,5657,3094,2563,881,119,1
22,3038 WOLFHALDEN,1632,803,829,1490,724,766,142,79,63,913,87,APPENZELL_A.RH.,47611,23369,24242,41954,20275,21679,5657,3094,2563,881,119,1
