,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,1,2,3,4,5,6,7,8,9,10,11
0,AARBERG,26603,13428,13175,24749,12308,12441,1854,1120,734,930,7.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
1,301 AARBERG,3212,1538,1674,2973,1400,1573,239,138,101,926,7.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
2,302 BARGEN (BE),731,366,365,720,358,362,11,8,3,985,1.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
3,303 GROSSAFFOLTERN,2235,1158,1077,2173,1112,1061,62,46,16,972,2.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
4,304 KALLNACH,1127,583,544,1116,577,539,11,6,5,990,1.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
5,305 KAPPELEN,856,436,420,838,426,412,18,I0,8,979,2.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
6,306 LYSS,8723,4375,4348,7495,3641,3854,1228,734,494,859,14.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
7,307 MEIKIRCH,1911,986,925,1836,935,901,75,51,24,961,3.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
8,308 NIEDERRIED B.KALLN.,234,121,113,234,121,113,—,—,—,1000,,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
9,309 RADELFINGEN,989,504,485,980,499,481,9,5,4,991,,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
10,310 RAPPERSWIL (BE),1718,893,825,1679,870,809,39,23,16,977,2.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
11,311 SCHUEPFEN,2269,1160,1109,2155,1087,1068,114,73,41,950,5.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
12,312 SEEDORF (BE),2598,1308,1290,2550,1282,1268,48,26,22,982,1.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
13,AARWANGEN,37860,18817,19043,34863,17118,17745,2997,1699,1298,921,7.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
14,321 AARWANGEN,3345,1686,1659,3075,1527,1548,270,159,111,919,8.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
15,322 AUSWIL,407,217,190,402,214,188,5,3,2,988,1.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
16,323 BANNWIL,575,308,267,559,297,262,16,11,5,972,2.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
17,324 BLEIENBACH,645,331,314,644,330,314,1,1,—,998,,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
18,325 BUSSWIL BEI MELCHNAU,207,103,104,206,102,104,1,1,—,995,,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
19,326 GONDISWIL,757,395,362,747,387,360,10,8,2,987,1.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
20,327 GUTENBURG,96,44,52,90,41,49,6,3,3,938,6.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
21,328 KLEINDIETWIL,460,238,222,440,228,212,20,10,10,957,4.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
22,329 LANGENTHAL,13408,6459,6949,11882,5600,6282,1526,859,667,886,11.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
23,330 LEIMISWIL,455,244,211,454,243,211,1,1,—,998,,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
24,331 LOTZWIL,2107,1072,1035,1950,978,972,157,94,63,925,7.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
25,337 MADI+mI,1844,9T3,913,1804,903,901,47,30,17,977,2.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
26,333 MELCHNAU,1443,717,726,1342,660,682,101,57,44,930,7.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
27,334 OBERSTECKHOLZ,418,203,215,408,199,209,10,4,6,976,2.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
28,335 OESCHENBACH,282,161,121,282,161,121,—,—,—,1000,,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
29,336 REISISWIL,172,86,86,172,86,86,—,—,—,1000,,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
30,337 ROGGWIL (BE),3333,1663,1670,2838,1392,1446,495,271,224,851,14.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
31,338 ROHRBACH,1328,643,685,1307,627,680,21,16,5,984,1.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
32,339 ROHRBACHGRABEN,426,223,203,424,223,201,2,—,2,995,,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
33,340 RUETSCHELEN,491,252,239,487,249,238,4,3,1,992,,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
34,341 SCHWARZHAEUSERN,409,215,194,405,211,194,4,4,—,990,1.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
35,342 THUNSTETTEN,2567,1295,1272,2442,1228,1214,125,67,58,951,4.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
36,343 UNTERSTECKHOLZ,171,89,82,171,89,82,,—,—,1000,,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
37,344 URSENBACH,909,460,449,888,447,441,21,13,8,977,2.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
38,345 WYNAU,1603,780,823,1444,696,748,159,84,75,901,9.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
39,BERN,252415,118307,134108,225854,103503,122351,26561,14804,11757,895,10.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
40,351 BERN,145254,65959,79295,126912,55845,71067,18342,10114,8228,874,12.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
41,352 BOLLIGEN,32312,15845,16467,29082,13998,15084,3230,1847,1383,900,10.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
42,353 BREMGARTEN BEI BERN,3355,1657,1698,3188,1561,1627,167,96,71,950,5.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
43,354 KIRCHLINDACH,2273,1143,1130,2204,1102,1102,69,41,28,970,3.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
44,355 KOENIZ,33441,15981,17460,31004,14623,16381,2437,1358,1079,927,7.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
45,356 MURI BEI BERN,12285,5795,6490,11475,5368,6107,810,427,383,934,6.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
46,357 OBERBALM,842,432,410,838,429,409,4,3,1,995,,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
47,358 STETTLEN,2234,1114,1120,2115,1042,1073,119,72,47,947,5.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
48,359 VECHIGEN,4036,2085,1951,3895,1997,1898,141,88,53,965,3.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
49,360 WOHLEN BEI BERN,7666,3866,3800,7250,3616,3634,416,250,166,946,5.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
50,361 ZOLLIKOFEN,8717,4430,4287,7891,3922,3969,826,508,318,905,9.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
51,BIEL,56068,26676,29392,47095,21516,25579,8973,5160,3813,840,16.0,BERN,912022,445200,466822,842091,404734,437357,69931,40466,29465,923,7
