,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,can_population,can_male_pop,can_fem_pop,can_swiss_pop,can_swiss_male,can_swiss_fem,can_foreign_pop,can_foreign_male,can_foreign_fem,can_swiss_promille,can_foreign_promille,district
1,2001 AUMONT,326,178,148.0,322,175,147,4,3,1,988,1.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
2,2002 AUTAVAUX,125,62,63.0,124,61,63,1,1,—,992,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
3,2003 BOLLION,63,32,31.0,63,32,31,—,—,—,1000,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
4,2004 BUSSY (FR),228,118,110.0,225,116,109,3,2,1,987,1.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
5,2005 CHABLES,286,129,157.0,261,127,134,25,2,23,913,8.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
6,2006 CHANDON,93,48,45.0,87,44,43,6,4,2,935,6.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
7,2007 CHAPELLE (BROYE),72,41,31.0,71,40,31,1,1,—,986,1.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
8,2008 CHATILLON (FR),134,69,65.0,131,66,65,3,3,—,978,2.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
9,2009 CHEIRY,186,92,94.0,186,92,94,—,—,—,1000,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
10,2010 CHEYRES,380,197,183.0,361,184,177,19,13,6,950,5.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
11,2011 CUGY (FR),753,379,374.0,707,353,354,46,26,20,939,6.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
12,2012 DELLEY,303,159,144.0,299,157,142,4,2,2,987,1.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
13,2013 DOMDIDIER,1509,761,748.0,1442,721,721,67,40,27,956,4.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
14,2014 DOMPIERRE (FR),510,253,257.0,500,247,253,10,6,4,980,2.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
15,2015 ESTAVAYER—LE—LAC,3662,1870,1792.0,3067,1544,1523,595,326,269,838,16.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
16,2016 FETIGNY,468,238,230.0,467,237,230,1,1,—,998,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
17,2017 FONT,192,104,88.0,190,102,88,2,2,—,990,1.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
18,2018 FOREL (FR),195,107,88.0,192,104,88,3,3,—,985,1.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
19,2019 FRANEX,46,27,19.0,43,26,17,3,1,2,935,6.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
20,2020 FRASSES,108,67,41.0,108,67,41,—,—,—,1000,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
21,2021 LES FRIQUES,67,35,32.0,67,35,32,—,—,—,1000,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
22,2022 GLETTERENS,203,98,105.0,198,95,103,5,3,2,975,2.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
23,2023 GRANGES — DE — VESIN,88,48,40.0,88,48,40,—,—,—,1000,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
24,2024 LECHELLES,289,149,140.0,288,148,140,1,1,—,997,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
25,2025 LI1tLY (FR),242,123,119.0,235,117,118,7,6,1,971,2.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
26,2026 MAHNENS—GRANDSIVAZ,370,191,179.0,369,191,178,1,—,1,997,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
27,2027 MENIERES,233,125,108.0,231,124,107,2,1,1,991,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
28,2028 MONTAGNY—LA—VILLE,423,194,229.0,411,191,220,12,3,9,972,2.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
29,2029 MONTAGNY—LES—MONTS,725,364,361.0,692,340,352,33,24,9,954,4.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
30,2030 MONTBORGET,79,43,36.0,78,42,36,1,1,—,987,1.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
31,2031 MONTBRELLOZ,177,95,82.0,177,95,82,—,—,—,1000,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
32,2032 MONTET (BROYE),276,151,125.0,224,116,108,52,35,17,812,18.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
33,2033 MOREHS (FR),122,62,60.0,122,62,60,—,—,—,1000,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
34,2034 MURIST,171,93,78.0,169,91,78,2,2,—,988,1.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
35,2035 NUVILLY,248,131,117.0,241,126,115,7,5,2,972,2.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
36,2036 PORTALBAN,147,81,66.0,138,75,63,9,6,3,939,6.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
37,2037 PRARATOUD,60,29,31.0,56,27,29,4,2,2,933,6.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
38,2038 PREVONDAVAUX,47,25,22.0,47,25,22,—,—,—,1000,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
39,2039 RUEYRES — LES — PRES,190,101,89.0,190,101,89,—,—,—,1000,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
40,2040 RUSSY,134,75,59.0,134,75,59,—,—,—,1000,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
41,2041 SAINT—AUBIN (FR),758,400,358.0,717,379,338,41,21,20,946,5.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
42,2042 SEIRY,99,51,48.0,99,51,48,—,—,—,1000,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
43,2043 SEVAZ,86,45,41.0,86,45,41,—,—,—,1000,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
44,2044 SURPIERRE,192,112,80.0,184,105,79,8,7,1,958,4.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
45,2045 VALLON,204,106,98.0,204,106,98,—,—,—,1000,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
46,2046 VESIN,175,87,88.0,175,87,88,—,—,—,1000,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
47,2047 VILLENEUVE (FR),194,102,92.0,186,98,88,8,4,4,959,4.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
48,2048 LA VOUNAISE,79,46,33.0,79,46,33,—,—,—,1000,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
49,2049 VUISSENS,142,74,68.0,142,74,68,—,—,—,1000,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
51,2061 AUBORANGES,148,68,80.0,145,67,78,3,1,2,980,2.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
52,2062 BERLENS,125,66,59.0,122,65,57,3,1,2,976,2.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
53,2063 BILLENS,399,193,206.0,370,182,188,29,11,18,927,7.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
54,2064 BIONNENS,56,31,25.0,56,31,25,—,—,—,1000,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
55,2065 BLESSENS,95,49,46.0,95,49,46,—,—,—,1000,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
56,2066 CHAPELLE (GLANE),130,63,67.0,129,62,67,1,1,—,992,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
57,2067 LE CHATELARD,330,179,151.0,327,177,150,3,2,1,991,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
58,2068 CHATONNAYE,342,182,160.0,336,179,157,6,3,3,982,1.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
59,2069 CHAVANNES—LES—FORTS,305,155,150.0,301,152,149,4,3,1,987,1.0,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
0,2071 LES ECASSEYS,53,30,23,53,30,23,-,1000,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
1,2072 ECUBLENS (FR),203,106,97,201,106,95,2,990,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
2,2074 ESMONTS,115,57,58,115,57,58,-,1000,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
3,2075 ESTEVENENS,116,60,56,115,59,56,-,991,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
4,2077 GILLARENS,160,74,86,155,73,82,4,969,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
5,2078 LES GLANES,81,47,34,77,45,32,2,951,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
6,2079 GRANGETTES,107,56,51,105,55,50,1,981,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
7,2080 HENNENS,109,60,49,109,60,49,-,1000,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
8,2081 LA JOUX (FR),266,144,122,265,143,122,-,996,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
9,2082 LIEFFRENS,49,28,21,49,28,21,-,1000,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
10,2083 LUSSY (FR),302,151,151,297,148,149,2,983,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
11,2085 LA MAGNE,34,24,10,34,24,10,-,1000,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
12,2086 MASSONNENS,316,176,140,315,175,140,-,997,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
13,2087 MEZIERES (FR),461,242,219,447,235,212,7,970,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
14,2088 MIDDES,255,130,125,254,129,125,-,996,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
15,2089 MONTET (GLANE),126,69,57,121,66,55,2,960,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
16,2090 MORLENS,38,19,19,38,19,19,-,1000,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
17,2091 MOSSEL,137,71,66,136,70,66,-,993,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
18,2092 LA NEIRIGUE,50,29,21,50,29,21,-,1000,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
19,2093 ORSONNENS,257,142,115,239,127,112,3,930,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
20,2094 PREZ-VERS-SIVIRIEZ,187,94,93,186,94,92,1,995,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
21,2095 PROMASENS,183,96,87,175,90,85,2,956,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
22,2096 ROMONT (FR),3495,1710,1785,3175,1538,1637,148,908,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
23,2097 RUE,361,187,174,359,185,174,-,994,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
24,2099 SIVIRIEZ,773,375,398,758,368,390,8,981,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
25,2100 SOMMENTIER,176,97,79,175,96,79,-,994,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
26,2101 TORNY-LE-GRAND,266,139,127,263,136,127,-,989,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
27,2).02 URSY,368,198,170,361,193,168,2,981,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
28,2103 VAUDERENS,260,135,125,247,130,117,8,950,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
29,2105 VILLARABOUD,233,125,108,231,124,107,1,991,,,,FRIBOURG,185246,93106,92140,170897,85022,85875,14349,8084,6265,923,7,1
