,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,can_population,can_male_pop,can_fem_pop,can_swiss_pop,can_swiss_male,can_swiss_fem,can_foreign_pop,can_foreign_male,can_foreign_fem,can_swiss_promille,can_foreign_promille,district
0,1601 BETSCHWANDEN,132,62,70,122,56,66,10,6,4,924.0,76,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
1,1602 BILTEN,1565,844,721,1189,613,576,376,231,145,760.0,240,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
2,1603 BRAUNWALD,484,207,277,409,170,239,75,37,38,845.0,155,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
3,1604 DIESBACH (GL),296,158,138,197,102,95,99,56,43,666.0,334,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
4,1605 ELM,785,410,375,767,397,370,18,13,5,977.0,23,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
5,1606 ENGI,672,318,354,613,291,322,59,27,32,912.0,88,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
6,1607 ENNENDA,2512,1217,1295,2173,1039,1134,339,178,161,865.0,135,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
7,1608 FILZBACH,448,279,169,351,186,165,97,93,4,783.0,217,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
8,1609 GLARUS,5969,2763,3206,5131,2301,2830,838,462,376,860.0,140,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
9,1610 HASLEN,489,255,234,420,219,201,69,36,33,859.0,141,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
10,1611 HAETZINGFN,472,704,215,301,139,162,121,65,56,71.3,287,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
11,1612 LEUGGELBACH,127,67,60,118,60,58,9,7,2,929.0,71,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
12,1613 LINTHAL,1421,717,704,1117,558,559,304,159,145,786.0,214,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
13,1614 LUCHSINGEN,606,311,295,420,211,209,186,100,86,693.0,307,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
14,1615 MATT,384,208,176,356,186,170,28,22,6,927.0,73,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
15,1616 MITLOEDI,981,508,473,746,357,389,235,151,84,760.0,240,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
16,1617 MOLLIS,2621,1316,1305,2331,1132,1199,290,184,106,889.0,111,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
17,1618 MUEHLEHORN,460,254,206,367,189,178,93,65,28,798.0,202,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
18,1619 NAEFELS,3766,1897,1869,3240,1573,1667,526,324,202,860.0,140,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
19,1620 NETSTAL,2642,1312,1330,2080,989,1091,562,323,239,787.0,213,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
20,1621 NIDFURN,234,115,119,216,108,108,18,7,11,923.0,77,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
21,1622 NIEDERURNEN,3438,1695,1743,2669,1245,1424,769,450,319,776.0,224,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
22,1623 OBERURNEN,1724,873,851,1330,655,675,394,218,176,771.0,229,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
23,1624 OBSTALDEN,366,189,177,347,176,171,19,13,6,948.0,52,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
24,1625 RIEDERN,658,337,321,489,248,241,169,89,80,743.0,257,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
25,1626 RUETI COL),473,245,228,256,125,131,217,120,97,541.0,459,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
26,1627 SCHWANDEN (GL),2519,1231,1288,2116,1021,1095,403,210,193,840.0,160,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
27,1628 SCHWAENDI,276,138,138,272,136,136,4,2,2,986.0,14,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
28,1629 SOOL,248,116,132,242,112,130,6,4,2,976.0,24,GLARUS,36718,18246,18472,30385,14594,15791,6333,3652,2681,828,172,1
