,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,can_population,can_male_pop,can_fem_pop,can_swiss_pop,can_swiss_male,can_swiss_fem,can_foreign_pop,can_foreign_male,can_foreign_fem,can_swiss_promille,can_foreign_promille,district
2,3501 ALVASCHEIN,149,74,75,142,68,74,7,6,1,953.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
3,3502 MON,66,36,30,66,36,30,,—,—,1000.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
4,3503 MUTTEN,83,44,39,81,42,39,2,2,—,976.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
5,3504 STIERVA,113,59,54,113,59,54,,—,—,1000.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
6,3505 TIEFENCASTEL,277,144,133,270,140,130,7,4,3,975.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
7,3506 VAZ/OBERVAZ,2067,1033,1034,1883,904,979,184,129,55,911.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
9,3511 ALVANEU,379,191,188,342,158,184,37,33,4,902.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
10,3512 BRIENZ (GR),95,44,51,94,44,50,1,,1,989.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
11,3513 LANTSCH/LENZ,382,206,176,353,184,169,29,22,7,924.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
12,3514 SCHNITTEN (GR),208,111,97,208,111,97,,,—,1000.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
13,3515 SURAVA,192,101,91,183,92,91,9,9,—,953.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
15,3521 BERGUEN/BRAVU006,459,248,211,411,206,205,48,42,6,895.0,1.0,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
16,3522 FILISUR,410,212,198,365,176,189,45,36,9,890.0,1.0,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
17,3523 WIESEN (GR),225,111,114,210,99,111,15,12,3,933.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
19,3531 BIVIO,238,116,122,219,109,110,19,7,12,920.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
20,3532 CUNTER,141,69,72,133,65,68,8,4,4,943.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
21,3533 MARMORERA,27,14,13,27,14,13,—,—,—,1000.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
22,3534 MULEGNS,50,23,27,50,23,27,—,—,—,1000.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
23,3536 RIOM—PARSONZ,263,135,128,258,131,127,5,4,1,981.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
24,3537 RONA,29,15,14,27,14,13,2,1,1,931.0,6.0,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
25,3538 SALOUF,157,86,71,155,84,71,2,2,,987.0,1.0,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
26,3539 SAVOGNIN,852,414,438,786,373,413,66,41,25,923.0,7.0,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
27,3540 SUR,112,59,53,99,48,51,13,11,2,884.0,11.0,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
28,3541 TINIZONG,303,160,143,298,157,141,5,3,2,983.0,1.0,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
31,3551 BRUSIO,1258,614,644,1200,575,625,58,39,19,954.0,4.0,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
33,3561 POSCHIAVO,3294,1565,1729,3102,1463,1639,192,102,90,942.0,5.0,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
36,3571 CASTRISCH,267,136,131,266,136,130,1,—,1,996.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
37,3572 FALERA,383,189,194,350,171,179,33,18,15,914.0,8.0,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
38,3573 FLOND,111,55,56,109,53,56,2,2,—,982.0,1.0,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
39,3574 ILANZ,2120,777,1343,1917,720,1197,203,57,146,904.0,9.0,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
40,3575 LAAX,833,412,421,667,317,350,166,95,71,801.0,19.0,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
41,3576 LADIR,82,46,36,82,46,36,—,—,—,1000.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
42,3577 LUVEN,113,58,55,111,56,55,2,2,—,982.0,1.0,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
43,3578 PITASCH,87,44,43,87,44,43,—,—,—,1000.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
44,3579 RIEIN,92,46,46,92,46,46,—,—,—,1000.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
45,3580 RUSCHEIN,283,142,141,280,139,141,3,3,—,989.0,1.0,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
