,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,1,2,3,4,5,6,7,8,9,10,11
0,ENTLEBUCH,16988,8949,8039,16724,8760,7964,264,189,75,984,1.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
1,1001 DOPPLESCHWAND,473,267,206,473,267,206,—,—,—,1000,,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
2,1002 ENTLEBUCH,3238,1728,1510,3117,1627,1490,121,101,20,963,3.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
3,1003 ESCHOLZMATT,3033,1580,1453,3008,1563,1445,25,17,8,992,,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
4,1004 FLUEHLI,1395,753,642,1378,744,634,17,9,8,988,1.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
5,1005 HASLE (LU),1538,814,724,1516,798,718,22,16,6,986,1.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
6,1006 MARBACH (LU),1160,624,536,1156,622,534,4,2,2,997,,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
7,1007 ROMOOS,727,419,308,726,418,308,1,1,—,999,,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
8,1008 SCHUEPFHEIM,3537,1778,1759,3513,1766,1747,24,12,12,993,,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
9,1009 WERTHENSTEIH,1887,986,901,1837,955,882,50,31,19,974,2.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
10,HOCHDORF,47714,23994,23720,42949,21132,21817,4765,2862,1903,900,10.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
11,1021 AESCH (LU),676,373,303,647,357,290,29,16,13,957,4.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
12,1022 ALTWIS,309,174,135,305,170,135,4,4,—,987,1.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
13,1023 BALLWIL,1552,805,747,1487,761,726,65,44,21,958,4.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
14,1024 EMMEN,22392,11295,11097,19114,9309,9805,3278,1986,1292,854,14.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
15,1025 ERMENSEE,552,271,281,536,260,276,16,11,5,971,2.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
16,1026 ESCHENBACH (LU),2321,1152,1169,2219,1089,1130,102,63,39,956,4.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
17,1027 GELFINGEN,501,254,247,479,242,237,22,12,10,956,4.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
18,1028 HAEMIKON,308,167,141,308,167,141,,—,—,1000,,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
19,1029 HERLISBERG,185,100,85,179,97,82,6,3,3,968,3.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
20,1030 HITZKIRCH,1648,828,820,1505,733,772,143,95,48,913,8.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
