,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,can_population,can_male_pop,can_fem_pop,can_swiss_pop,can_swiss_male,can_swiss_fem,can_foreign_pop,can_foreign_male,can_foreign_fem,can_swiss_promille,can_foreign_promille,district
0,1501 BECKENRIED,2120,1116,1004,2023,1025,998,97,91,6,954,4,NIDWALDEN,28617,14691,13926,26845,13543,13302,1772,1148,624,938,6,1
1,1502 BUOCHS,3742,1945,1797,3462,1762,1700,280,183,97,925,7,NIDWALDEN,28617,14691,13926,26845,13543,13302,1772,1148,624,938,6,1
2,1503 DALLENWIL,1142,607,535,1116,593,523,26,14,12,977,2,NIDWALDEN,28617,14691,13926,26845,13543,13302,1772,1148,624,938,6,1
3,1504 EMMETTEN,715,365,350,689,352,337,26,13,13,964,3,NIDWALDEN,28617,14691,13926,26845,13543,13302,1772,1148,624,938,6,1
4,1505 ENNETBUERGEN,2716,1417,1299,2547,1312,1235,169,105,64,938,6,NIDWALDEN,28617,14691,13926,26845,13543,13302,1772,1148,624,938,6,1
5,1506 ENNETMOOS,1347,779,568,1251,695,556,96,84,12,929,7,NIDWALDEN,28617,14691,13926,26845,13543,13302,1772,1148,624,938,6,1
6,1507 HERGISWIL (NW),4254,2120,2134,3898,1909,1989,356,211,145,916,8,NIDWALDEN,28617,14691,13926,26845,13543,13302,1772,1148,624,938,6,1
7,1508 OBERDORF (NW),2272,1161,1111,2207,1122,1085,65,39,26,971,2,NIDWALDEN,28617,14691,13926,26845,13543,13302,1772,1148,624,938,6,1
8,1509 STANS,5681,2730,2951,5362,2554,2808,319,176,143,944,5,NIDWALDEN,28617,14691,13926,26845,13543,13302,1772,1148,624,938,6,1
9,1510 STANSSTAD,3104,1607,1497,2821,1424,1397,283,183,100,909,9,NIDWALDEN,28617,14691,13926,26845,13543,13302,1772,1148,624,938,6,1
10,1511 WOLFENSCHIESSEN,1524,844,680,1469,795,674,55,49,6,964,3,NIDWALDEN,28617,14691,13926,26845,13543,13302,1772,1148,624,938,6,1
