,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,1,2,3,4,5,6,7,8,9,10,11
0,EINSIEDELN,9629,4884,4745,9038,4568,4470,591,316,275,939,61,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
1,1301 EINSIEDELN,9629,4884,4745,9038,5568,4470,591,316,275,939,61,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
2,GERSAU,1702,848,854,1504,745,759,198,103,95,884,116,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
3,1311 GERSAU,1702,848,854,1504,745,759,198,103,95,884,116,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
4,HOFFE,16619,8543,8076,14617,7299,7318,2002,1244,758,880,120,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
5,1321 FEUSISBERG,2829,1454,1375,2616,1323,1293,213,131,82,925,75,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
6,1322 FREI ENBACH,9912,5135,4777,8542,4280,4262,1370,855,515,862,138,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
7,1323 WOLLERAU,3878,1954,1924,3459,1696,1763,419,258,161,892,108,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
8,KUESSNACHT,8091,4149,3942,7239,3620,3619,852,529,323,895,105,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
9,1331 KUESSNACHT AM RIGI,8091,4149,3942,7239,3620,3619,852,529,323,895,105,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
10,MARCH,23242,12020,11222,20475,10391,10084,2767,1629,1138,881,119,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
11,1341 ALTENDORF,2887,1564,1323,2672,1431,1241,215,133,82,926,74,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
12,1342 GAL GENEN,2906,1534,1372,2672,1396,1276,234,138,96,919,81,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
13,1343 INNERTHAL,156,89,67,155,88,67,1,1,—,994,6,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
14,1344 LACHEN,5352,2635,2717,4430,2098,2332,922,537,385,828,172,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
15,1345 REICHENBURG,1780,953,827,1639,861,778,141,92,49,921,79,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
16,1346 SCHUEBELBACH,4720,2378,2342,3904,1929,1975,816,449,367,827,173,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
17,1347 TUGGEN,1854,963,891,1640,832,808,214,131,83,885,115,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
18,1348 VORDERTHAL,786,442,344,780,438,342,6,4,2,992,8,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
19,1349 WANGEN (SZ),2801,1462,1339,2583,1318,1265,218,144,74,922,78,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
20,SCHWYZ,38071,18944,19127,35279,17406,17873,2792,1538,1254,927,73,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
21,1361 ALPTHAL,312,179,133,311,179,132,1,—,1,997,3,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
22,1362 ARTH,7795,3971,3824,7088,3538,3550,707,433,274,909,91,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
23,1363 ILLGAU,514,260,254,511,260,251,3,—,3,994,6,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
24,1364 INGENBOHL,6232,2718,3514,5510,2368,3142,722,350,372,884,116,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
25,1365 LAUERZ,600,326,274,590,320,270,10,6,4,983,17,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
26,1366 MORSCHACH,632,305,327,614,299,315,18,6,12,972,28,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
27,1367 MUOTATHAL,2896,1550,1346,2853,1518,1335,43,32,11,985,15,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
28,1368 OBERIBERG,568,291,277,563,288,275,5,3,2,991,9,SCHWYZ,97354,49388,47966,88152,44029,44123,9202,5359,3843,905,95
