,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,1,2,3,4,5,6,7,8,9,10,11
0,BALSTHAL—GAEU,12740,6376,6364,11612,5726,5886,1128,650,478,911,8.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
1,2401 EGERKINGEN,2152,1028,1124,2018,953,1065,134,75,59,938,6.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
2,2402 HAERKINGEN,837,441,396,783,402,381,54,39,15,935,6.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
3,2403 KESTENHOLZ,1247,636,611,1189,600,589,58,36,22,953,4.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
4,2404 NEUENDORF,1201,601,600,1156,574,582,45,27,18,963,3.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
5,2405 NIEDERBUCHSITEN,662,338,324,649,331,318,13,7,6,980,2.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
6,2406 OBERBUCHSITEN,1421,734,687,1213,609,604,208,125,83,854,14.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
7,2407 OENSINGEN,3543,1772,1771,2968,1460,1508,575,312,263,838,16.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
8,2408 WOLFWIL,1677,826,851,1636,797,839,41,29,12,976,2.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
9,BALSTHAL—TAL,12773,6434,6339,11718,5831,5887,1055,603,452,917,8.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
10,2421 AEDERMANNSDORF,461,244,217,445,232,213,16,12,4,965,3.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
11,2422 BALSTHAL,5090,2503,2587,4247,2036,2211,843,467,376,834,16.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
12,2423 GAENSBRUNNEN,108,56,52,105,55,50,3,1,2,972,2.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
13,2424 HERBETSWIL,587,309,278,574,303,271,13,6,7,978,2.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
14,2425 HOLDERBANK (S0),570,282,288,551,272,279,19,10,9,967,3.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
15,2426 LAUPERSDORF,1380,702,678,1360,688,672,20,14,6,986,1.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
16,2427 MATZENDORF,1077,535,542,1067,530,537,10,5,5,991,,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
17,2428 MUEMLISWIL—RAMISWIL,2386,1255,1131,2284,1190,1094,102,65,37,957,4.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
18,2429 WELSCHENROHR,1114,548,566,1085,525,560,29,23,6,974,2.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
19,BUCHEGGBERG,5766,2911,2855,5646,2833,2813,120,78,42,979,2.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
20,2441 AETIGKOFEN,102,54,48,102,54,48,—,—,—,1000,,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
21,2442 AETINGEN,242,131,111,241,130,111,1,1,—,996,,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
22,2443 BALM BEI MESSEN,92,46,46,92,46,46,—,—,—,1000,,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
23,2444 BIBERN (50),187,100,87,174,90,84,13,10,3,930,7.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
24,2445 BIEZWIL,226,116,110,225,116,109,1,—,1,996,,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
25,2446 BRUEGGLEN,139,75,64,138,75,63,1,—,1,993,,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
26,2447 BRUNNENTHAL,155,73,82,155,73,82,—,—,—,1000,,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
27,2448 GAECHLIWIL,69,32,37,67,30,37,2,2,—,971,2.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
28,2449 GOSSLIWIL,168,90,78,167,89,78,1,1,—,994,,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
29,2450 HESSIGKOFEN,204,95,109,203,94,109,1,1,—,995,,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
30,2452 KUETTIGKOFEN,212,113,99,209,111,98,3,2,1,986,1.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
31,2453 KYBURG—BUCHEGG,303,156,147,288,147,141,15,9,6,950,5.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
32,2454 LUESSLINGEN,461,234,227,439,221,218,22,13,9,952,4.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
33,2455 LUETERKOFEN—ICHERTS.,597,287,310,582,280,302,15,7,8,975,2.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
34,2456 LUETERSWIL,253,118,135,249,116,133,4,2,2,984,1.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
35,2457 MESSEN,670,334,336,668,333,335,2,1,1,997,,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
36,2458 MUEHLEDORF (SO),250,120,130,248,118,130,2,2,—,992,,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
37,2459 NENNIGKOFEN,406,202,204,381,185,196,25,17,8,938,6.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
38,2460 OBERRAMSERN,98,50,48,98,50,48,—,—,—,1000,,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
39,2461 SCHNOTTWIL,655,338,317,645,330,315,10,8,2,985,1.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
40,2462 TSCHEPPACH,146,74,72,145,73,72,1,1,—,993,,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
41,2463 UNTERRAMSERN,131,73,58,130,72,58,1,1,—,992,,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
42,DORNECK,13309,6527,6782,11578,5664,5914,1731,863,868,870,13.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
43,2471 BAETTWIL,429,216,213,419,211,208,10,5,5,977,2.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
44,2472 BUEREN (50),539,268,271,534,263,271,5,5,—,991,,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
45,2473 DORNACH,5442,2525,2917,4197,1942,2255,1245,583,662,771,22.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
46,2474 GEMPEN,498,254,244,459,236,223,39,18,21,922,7.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
47,2475 HOCHWALD,637,337,300,566,283,283,71,54,17,889,11.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
48,2476 HOFSTETTEN (SO),1682,845,837,1505,748,757,177,97,80,895,10.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
49,2477 METZERLEN,720,356,364,698,349,349,22,7,15,969,3.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
50,2478 NUGLAR—ST.PANTALEON,880,463,417,861,450,411,19,13,6,978,2.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
51,2479 RODERSDORF,783,404,379,721,369,352,62,35,27,921,7.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
52,2480 SEEWEN,738,371,367,731,367,364,7,4,3,991,,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
53,2481 WITTERSWIL,961,488,473,887,446,441,74,42,32,923,7.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
54,GOESGEN,20359,10028,10331,17841,8590,9251,2518,1438,1080,876,12.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
55,2491 NAUENSTEIN—IFENTHAL,203,101,102,199,97,102,4,4,—,980,2.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
56,2492 KIENBERG,403,212,191,398,209,189,5,3,2,988,1.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
57,2493 LOSTORF,2378,1217,1161,2240,1130,1110,138,87,51,942,5.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
58,2494 NIEDERERLINSBACH,1964,947,1017,1772,824,948,192,123,69,902,9.0,SOLOTHURN,218102,107878,110224,191126,92517,98609,26976,15361,11615,876,12
