,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,can_population,can_male_pop,can_fem_pop,can_swiss_pop,can_swiss_male,can_swiss_fem,can_foreign_pop,can_foreign_male,can_foreign_fem,can_swiss_promille,can_foreign_promille,can_mun_name,district
0,1201 ALTDORF (UR),8230,4007,4223,7378,3508,3870,852,499,353,896,104.0,URI,Unnamed: 1,33883,17293,16590,31671,15856,15815,2212,1437,775,935,65,1
1,1202 ANDERMATT,1375,671,704,1321,635,686,54,36,18,961,39.0,URI,Unnamed: 1,33883,17293,16590,31671,15856,15815,2212,1437,775,935,65,1
2,1203 ATTINGHAUSEN,1197,630,567,1173,617,556,24,13,11,980,20.0,URI,Unnamed: 1,33883,17293,16590,31671,15856,15815,2212,1437,775,935,65,1
3,1204 BAUEN,174,99,75,164,92,72,10,7,3,943,57.0,URI,Unnamed: 1,33883,17293,16590,31671,15856,15815,2212,1437,775,935,65,1
4,1205 BUERGLEN (UR),3456,1777,1679,3331,1701,1630,125,76,49,964,36.0,URI,Unnamed: 1,33883,17293,16590,31671,15856,15815,2212,1437,775,935,65,1
5,1206 ERSTFELD,4158,2106,2052,3872,1911,1961,286,195,91,931,69.0,URI,Unnamed: 1,33883,17293,16590,31671,15856,15815,2212,1437,775,935,65,1
6,1207 FLUELEN,1672,806,866,1545,732,813,127,74,53,924,76.0,URI,Unnamed: 1,33883,17293,16590,31671,15856,15815,2212,1437,775,935,65,1
7,1208 GOESCHENEN,708,370,338,654,335,319,54,35,19,924,76.0,URI,Unnamed: 1,33883,17293,16590,31671,15856,15815,2212,1437,775,935,65,1
8,1209 GURTNELLEN,813,420,393,793,407,386,20,13,7,975,25.0,URI,Unnamed: 1,33883,17293,16590,31671,15856,15815,2212,1437,775,935,65,1
9,1210 HOSPENTAL,242,120,122,237,117,120,5,3,2,979,21.0,URI,Unnamed: 1,33883,17293,16590,31671,15856,15815,2212,1437,775,935,65,1
10,1211 ISENTHAL,535,287,248,535,287,248,—,—,—,1000,,URI,Unnamed: 1,33883,17293,16590,31671,15856,15815,2212,1437,775,935,65,1
11,1212 REALP,308,198,110,210,106,104,98,92,6,682,318.0,URI,Unnamed: 1,33883,17293,16590,31671,15856,15815,2212,1437,775,935,65,1
12,1213 SCHATTDORF,4516,2344,2172,4166,2101,2065,350,243,107,922,78.0,URI,Unnamed: 1,33883,17293,16590,31671,15856,15815,2212,1437,775,935,65,1
13,1214 SEEDORF (UR),1271,638,633,1186,590,596,85,48,37,933,67.0,URI,Unnamed: 1,33883,17293,16590,31671,15856,15815,2212,1437,775,935,65,1
14,1215 SEELISBERG,533,304,229,532,303,229,1,1,—,998,2.0,URI,Unnamed: 1,33883,17293,16590,31671,15856,15815,2212,1437,775,935,65,1
15,1216 SILENEN,2115,1114,1001,2078,1086,992,37,28,9,983,17.0,URI,Unnamed: 1,33883,17293,16590,31671,15856,15815,2212,1437,775,935,65,1
16,1217 SISIKON,314,175,139,306,170,136,8,5,3,975,25.0,URI,Unnamed: 1,33883,17293,16590,31671,15856,15815,2212,1437,775,935,65,1
17,1218 SPIRINGEN,943,512,431,942,512,430,1,—,1,999,1.0,URI,Unnamed: 1,33883,17293,16590,31671,15856,15815,2212,1437,775,935,65,1
18,1219 UNTERSCHAECHEN,652,343,309,651,342,309,1,1,—,998,2.0,URI,Unnamed: 1,33883,17293,16590,31671,15856,15815,2212,1437,775,935,65,1
19,1220 WASSEN,671,372,299,597,304,293,74,68,6,890,110.0,URI,Unnamed: 1,33883,17293,16590,31671,15856,15815,2212,1437,775,935,65,1
