,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,1,2,3,4,5,6,7,8,9,10,11
0,BRIG,19624,9688,9936,18671,9124,9547,953,564,389,951,49,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
1,6001 BIRGISCH,181,91,9D,181,91,90,,,—,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
2,6002 BRIG—GLIS,9608,4684,4924,9133,4426,4707,475,258,217,951,49,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
3,6004 EGGERBERG,355,174,181,354,173,181,1,1,—,997,3,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
4,6006 MUND,618,325,293,618,325,293,,,—,1000,—,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
5,6007 NATERS,6662,3311,3351,6240,3039,3201,422,272,150,937,63,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
6,6008 RIED BEI BRIG,1168,580,588,1132,558,574,36,22,14,969,31,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
7,6009 SIMPLON,328,176,152,323,173,150,5,3,2,985,15,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
8,6010 TERMEN,533,259,274,523,253,270,10,6,4,981,19,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
9,6011 ZWISCHBERGEN,171,88,83,167,86,81,4,2,2,977,23,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
10,CONTHEY,15201,7635,7566,14310,7139,7171,891,496,395,941,59,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
11,6021 ARDON,1636,820,816,1415,695,720,221,125,96,865,135,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
12,6022 CHAMOSON,2094,1017,1077,2006,966,1040,88,51,37,958,42,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
13,6023 CONTHEY,4828,2387,2441,4554,2224,2330,274,163,111,943,57,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
14,6024 NENDAZ,4372,2241,2131,4292,2201,2091,80,40,40,982,18,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
15,6025 VETROZ,2271,1170,1101,2043,1053,990,228,117,111,900,100,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
16,ENTREMONT,9561,4877,4684,9035,4564,4471,526,313,213,945,55,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
17,6031 BAGNES,4652,2375,2277,4226,2126,2100,426,249,177,908,92,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
18,6032 BOURG—SAINT—PIERRE,218,109,109,202,102,100,16,7,9,927,73,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
19,6033 LIDDES,639,324,315,634,320,314,5,4,1,992,8,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
20,6034 ORSIERES,2357,1187,1170,2302,1151,1151,55,36,19,977,23,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
21,6035 SEMBRANCHER,671,342,329,656,331,325,15,11,4,978,22,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
22,6036 VOLLEGES,1024,540,484,1015,534,481,9,6,3,991,9,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
23,GOMS,4294,2313,1981,4018,2069,1949,276,244,32,936,64,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
24,6051 AUSSERBINN,39,24,15,35,21,14,4,3,1,897,103,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
25,6052 BELLWALD,285,148,137,283,146,137,2,2,—,993,7,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
26,6053 RIFT (VS),59,29,30,56,27,29,3,2,,949,51,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
27,6054 BI0N,162,72,90,162,72,90,—,—,,1000,—,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
28,6055 BLITZINGEN,93,43,50,93,43,50,-,-,,1000,-,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
29,6056 ERNEN,317,158,159,317,158,159,-,-,,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
30,6057 FIESCH,710,374,336,684,363,321,26,11,15,963,37,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
31,6058 FIESCHERTAL,242,131,111,236,127,109,6,4,2,975,25,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
32,6059 GESCHINEN,69,36,33,66,34,32,3,2,1,957,43,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
33,6060 GLURINGEN,131,61,70,131,61,70,—,—,—,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
34,6061 LAX,301,162,139,295,157,138,6,5,1,980,20,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
35,6062 MUEHLEBACH,42,22,20,42,22,20,—,—,—,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
36,6063 MUENSTER (05),417,215,202,409,211,198,8,4,4,981,19,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
37,6064 NIEDERWALD,65,33,32,65,33,32,—,—,—,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
38,6065 OBERGESTELN,205,108,97,205,108,97,—,—,—,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
39,6066 OBERWALD,447,326,121,231,117,114,216,209,7,517,483,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
40,6067 RECKINGEN (VS),350,178,172,349,177,172,1,1,—,997,3,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
41,6068 RITZINGEN,66,35,31,66,35,31,—,—,—,1000,-,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
42,6069 SELKINGEN,70,36,34,70,36,34,—,—,—,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
43,6070 STEINHAUS,26,16,10,26,16,10,—,—,—,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
44,6071 ULRICHEN,198,106,92,197,105,92,1,1,—,995,5,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
45,HERENS,8168,4050,4118,8030,3981,4049,138,69,69,983,17,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
46,6081 LES AGETTES,193,97,96,192,97,95,1,-,1,995,5,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
47,6082 AYENT,2581,1295,1286,2520,1264,1256,61,31,30,976,24,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
48,6083 EVOLENE,1453,723,730,1432,715,717,21,8,13,986,14,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
49,6084 HEREMENCE,1315,627,688,1301,618,683,14,9,5,989,11,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
50,6085 MASE,219,102,117,218,102,116,1,—,1,995,5,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
51,6086 NAX,356,175,181,352,172,180,4,3,1,989,11,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
52,6087 SAINT—MARTIN (VS),1023,516,507,1013,512,501,10,4,6,990,10,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
53,6088 VERNAMIEGE,199,95,104,199,95,104,—,—,—,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
54,6089 VEX,829,420,409,803,406,397,26,14,12,969,31,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91
