,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,can_population,can_male_pop,can_fem_pop,can_swiss_pop,can_swiss_male,can_swiss_fem,can_foreign_pop,can_foreign_male,can_foreign_fem,can_swiss_promille,can_foreign_promille,district
1,1 AEUGST AM ALBIS,866,445,421,832,422,410,34,23,11,961,39,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164,1
2,2 AFFOLTERN AM ALBIS,8064,4012,4052,6637,3192,3445,1427,820,607,823,177,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164,1
3,3 BONSTETTEN,2123,1085,1038,1952,990,962,171,95,76,919,81,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164,1
4,4 HAUSEN AM ALBIS,2216,1160,1056,2001,1038,963,215,122,93,903,97,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164,1
5,5 HEDINGEN,1915,968,947,1623,786,837,292,182,110,848,152,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164,1
6,6 KAPPEL AM ALOIS,567,291,276,549,281,268,18,10,8,968,32,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164,1
7,7 KNONAU,951,508,443,882,457,425,69,51,18,927,73,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164,1
8,8 MASCHWANDEN,426,217,209,420,213,207,6,4,2,986,14,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164,1
9,9 METTMENSTETTEN,2297,1189,1108,2086,1066,1020,211,123,88,908,92,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164,1
10,10 OBFEL.DEN,3315,1689,1626,2876,1431,1445,439,258,181,868,132,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164,1
11,11 OTTENBACH,1389,700,689,1285,639,646,104,61,43,925,75,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164,1
12,12 RIFFERSWIL,543,276,267,528,269,259,15,7,8,972,28,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164,1
