,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,can_population,can_male_pop,can_fem_pop,can_swiss_pop,can_swiss_male,can_swiss_fem,can_foreign_pop,can_foreign_male,can_foreign_fem,can_swiss_promille,can_foreign_promille,district
0,1702 CHAM,9275,4538,4737,8017,3783,4234,1258,755,503,864,136,ZUG,15196,7657,7539,12685,6263,6422,2511,1394,1117,835,165,1
1,1703 HUENENBERG,4105,2088,2017,3730,1873,1857,375,215,160,909,91,ZUG,15196,7657,7539,12685,6263,6422,2511,1394,1117,835,165,1
2,1704 MENZINGEN,3564,1443,2121,3297,1338,1959,267,105,162,925,75,ZUG,15196,7657,7539,12685,6263,6422,2511,1394,1117,835,165,1
3,1705 NEUHEIM,996,524,472,943,485,458,53,39,14,947,53,ZUG,15196,7657,7539,12685,6263,6422,2511,1394,1117,835,165,1
4,1706 OBERAEGERI,3563,1843,1720,3252,1665,1587,311,178,133,913,87,ZUG,15196,7657,7539,12685,6263,6422,2511,1394,1117,835,165,1
5,1707 RISCH,3988,2067,1921,3517,1781,1736,471,286,185,882,118,ZUG,15196,7657,7539,12685,6263,6422,2511,1394,1117,835,165,1
6,1708 STEINHAUSEN,6082,3112,2970,5230,2615,2615,852,497,355,860,140,ZUG,15196,7657,7539,12685,6263,6422,2511,1394,1117,835,165,1
7,1709 UNTERAEGERI,5371,2693,2678,4768,2342,2426,603,351,252,888,112,ZUG,15196,7657,7539,12685,6263,6422,2511,1394,1117,835,165,1
8,1710 WALCHWIL,2181,1121,1060,1908,967,941,273,154,119,875,125,ZUG,15196,7657,7539,12685,6263,6422,2511,1394,1117,835,165,1
9,1711 ZUG,21609,10605,11004,18215,8691,9524,3394,1914,1480,843,157,ZUG,15196,7657,7539,12685,6263,6422,2511,1394,1117,835,165,1
